Entropy,Iteration,AveragePolicyStd,dLoss,AverageDiscountedReturn,AverageReturn,MaxReturn,StdReturn,NumTrajs,ExplainedVariance,MeanKLBefore,Perplexity,LossAfter,MeanKL,LossBefore,MinReturn
1.4189385332,0,1.0,0.0125751097486,-925.906019797,-997.874400441,-995.295926381,0.797011985403,594,1.61548552313e-11,0.0,4.13273135412,-0.0125750974639,0.00682797824562,1.2284675212e-08,-998.779444663
1.426289222,1,1.00737777143,0.0541267945129,-923.874931789,-997.870228167,-994.953005312,0.812325102417,579,0.917613316205,-4.08264059192e-09,4.16322170144,-0.0541268325982,0.00998865876704,-3.80853330246e-08,-998.801938118
1.44912055208,2,1.0306421132,0.0439717409535,-920.029508102,-997.741706921,-993.853215152,0.868621618251,553,0.879492553887,1.43694230438e-08,4.2593669761,-0.043971713554,0.00865816588026,2.73995345218e-08,-998.773317602
1.46648231967,3,1.04869211864,0.0553684692408,-917.479349205,-997.586989788,-992.820711711,0.993004679496,537,0.870378718889,3.75894189386e-09,4.33396279952,-0.0553684876652,0.00991039605169,-1.84243271716e-08,-998.738168624
1.47442797272,4,1.05705785397,0.0490196686594,-911.613990171,-997.533962487,-992.266180284,1.1562518333,503,0.861260920336,6.30052630207e-09,4.36853613623,-0.0490195984716,0.00858044367192,7.01878044853e-08,-998.77328965
1.4790592499,5,1.06196473568,0.0582009583499,-905.097238632,-997.300991208,-992.435402508,1.25672521988,470,0.834785178583,5.65980445844e-09,4.3888149601,-0.058200958035,0.00972546327052,3.14909836176e-10,-998.743916229
1.49062862321,6,1.07432234923,0.0493976559783,-895.77531583,-997.211179204,-990.915359564,1.48121361855,430,0.767130836927,-1.01619042209e-08,4.43988565709,-0.0493976643967,0.00855921379706,-8.41837381034e-09,-998.753601123
1.49043430461,7,1.0741136087,0.0408108899984,-885.470151792,-997.032436399,-991.663369366,1.47637490251,391,0.752668885221,-1.003465884e-08,4.43902298858,-0.0408108571264,0.00768255104896,3.28719767554e-08,-998.802392907
1.48611785545,8,1.06948724383,0.0391453276955,-872.576483224,-996.794001245,-989.155639223,1.79360473535,350,0.635921458239,-3.64910033301e-08,4.41990346542,-0.0391452138614,0.00922729542069,1.13834098985e-07,-999.957472189
1.48337152674,9,1.06655410983,0.0374429055829,-854.872388699,-996.78306479,-989.55203057,1.78622940553,306,0.665608380723,-3.10213676691e-08,4.40778161054,-0.0374429188724,0.00879035050981,-1.32894527284e-08,-998.711980201
1.48022049366,10,1.06319865191,0.0176658861722,-834.412537001,-996.670289654,-989.889710557,1.78262084091,264,0.510964039908,4.64983803475e-08,4.39391440439,-0.0176658688213,0.00466875255678,1.73509397994e-08,-999.998190209
1.47580672129,11,1.05851627614,0.0248076302784,-810.983825484,-995.931348754,-982.539632708,3.13936967306,232,0.503323454012,-5.04129234885e-09,4.37456340325,-0.02480759291,0.00643099948387,3.73684096352e-08,-999.999585972
1.47041929959,12,1.05282893639,0.0223982352953,-768.024894712,-995.774540143,-982.395017191,2.97597694758,185,0.290406549234,-1.1495214329e-08,4.35105915595,-0.0223982612053,0.00898184561447,-2.59100571792e-08,-999.999239033
1.4644789107,13,1.04659326258,0.0128154474536,-705.265674295,-965.390455308,15.4998179065,167.01456205,140,0.0949212930073,3.65160617091e-08,4.32528879127,-0.0128154149353,0.0089952641565,3.25183357034e-08,-999.996583248
1.45773208215,14,1.03955584409,0.00961934395429,-710.510095577,-968.438045753,9.54213956418,163.608781971,145,0.0866047218517,-7.17035999673e-08,4.29620503123,-0.0096193196096,0.0058452104047,2.43446953167e-08,-999.999697495
1.45114291905,15,1.03272855884,0.0160221598738,-670.881028912,-919.354979957,19.0750525441,265.609636454,132,-0.102059496618,2.06625499141e-08,4.2679896954,-0.0160221382616,0.00595615759832,2.16121821075e-08,-999.999585978
1.42938128001,16,1.01049746258,0.00251916523128,-550.505043019,-761.852693122,23.9162868936,425.167784495,103,0.20901470363,-3.46866043666e-08,4.17611454686,-0.00251917495649,0.00197532552055,-9.72520969564e-09,-999.999436893
1.42307470347,17,1.00414473602,0.0265203294708,-475.796933832,-665.360435645,33.8841037212,471.474344552,91,-69.760934378,4.50461639457e-08,4.14986043462,-0.0265203207591,0.00587002562736,8.71172437523e-09,-999.996762784
1.42899718209,18,1.01010940714,0.0124741686585,-577.715987712,-777.144622512,18.6448911262,414.44667335,110,-10.990987751,-1.39309717061e-09,4.17451081797,-0.0124741721621,0.00664558548649,-3.50358998523e-09,-999.999693573
