AveragePolicyStd,dLoss,MeanKL,StdReturn,Perplexity,AverageReturn,NumTrajs,MinReturn,ExplainedVariance,AverageDiscountedReturn,LossBefore,Entropy,Iteration,LossAfter,MaxReturn,MeanKLBefore
1.0,0.0325059371901,0.00987377980744,421.499764584,4.13273135412,-1792.32300318,385,-4125.16136013,8.60422844084e-14,-1623.50651772,1.36174631597e-08,1.4189385332,0,-0.0325059235726,-1285.84119897,0.0
0.990243693964,0.0205360853597,0.00640848090481,269.957229649,4.09241116227,-1673.92601202,443,-4255.83689502,0.162190113396,-1539.03380527,7.8333391368e-09,1.40913432258,1,-0.0205360775264,-1254.18471953,-1.94622213397e-08
0.972434114692,0.0256630159964,0.0064313027711,199.852918276,4.01880895561,-1623.1814135,469,-3154.58254044,0.432807397524,-1499.74610124,3.37623603024e-08,1.39098557903,2,-0.025662982234,-1251.59813818,-4.35178990066e-10
0.950376877886,0.0178545965811,0.00704015953361,149.859794409,3.92765232147,-1580.36047054,493,-1972.05165924,0.336170005774,-1466.13434482,-4.36490382868e-09,1.36804187371,3,-0.017854600946,-1253.14059079,-1.48550301435e-08
0.945220557975,0.0259195412847,0.00655996316087,164.840228519,3.9063426365,-1563.19429802,519,-2498.46125631,0.595854357834,-1456.16585138,-1.37619713275e-08,1.36260154917,4,-0.0259195550466,-1242.17274594,-2.6476695586e-08
0.927910774553,0.00324923325036,0.00533149727122,130.117029813,3.83480595182,-1515.81430996,548,-2072.40444418,0.60163555111,-1416.89314573,2.24654429496e-08,1.34411883427,5,-0.00324921078492,-1255.02800541,-2.66369872826e-08
0.91323895708,0.0265655730642,0.00673066965061,129.865587844,3.77417127173,-1532.26225247,541,-1932.7241777,0.729373352588,-1431.48926128,1.10889446144e-07,1.32818082793,6,-0.0265654621748,-1267.49155185,-2.21185297855e-08
0.881264561685,0.0242471422339,0.00678709259283,121.545518079,3.64202968535,-1507.85304353,561,-1943.65924617,0.736371981282,-1412.28060072,4.55100916052e-09,1.29254113211,7,-0.0242471376829,-1254.09173255,9.58214230184e-09
0.846167512155,0.0273713106201,0.00915463942708,114.615490002,3.49698300832,-1487.41850606,578,-1832.38008857,0.776024233,-1395.62595372,-4.12141433259e-08,1.25190059914,8,-0.0273713518342,-1250.6196736,-2.38611600756e-08
0.807031636621,0.0192655465186,0.00998393395647,117.146164046,3.33524494843,-1470.85213241,590,-1797.77380927,0.594881773095,-1381.58180754,3.91166727225e-08,1.20454612448,9,-0.019265507402,-1234.09168083,7.80211587004e-09
0.782867953089,0.0197739827645,0.00665223845744,110.08013817,3.23538293587,-1471.88424933,604,-1777.39810558,0.791747682761,-1385.33683592,5.39836369841e-09,1.1741472937,10,-0.0197739773661,-1239.53886451,2.00150023777e-08
0.742707654813,0.00854272574478,0.00661522934103,100.725589497,3.06941121199,-1452.24111402,619,-1718.63315684,0.555269996194,-1368.58592804,1.47600074318e-08,1.12148575558,11,-0.00854271098477,-1251.72190324,3.7372526962e-08
0.722766891903,0.0111464970056,0.00691208951362,99.2728640516,2.98700139589,-1453.15585622,622,-1774.24735929,0.825852525712,-1369.95512056,7.24610592123e-09,1.09427000656,12,-0.0111464897595,-1231.67568353,-4.88617774019e-09
0.683734350874,0.00429696370019,0.0070092093237,95.7498658717,2.82569038975,-1451.69995813,629,-1689.58509415,0.842221178678,-1369.64985012,-6.7623189016e-09,1.03875272049,13,-0.0042969704625,-1242.83172026,7.75968961308e-09
0.650581755411,0.00783451005909,0.00657827870795,95.0520323525,2.68867961901,-1445.22417277,629,-1683.34031353,0.835328687131,-1363.19627833,-1.22124010366e-08,0.989050225156,14,-0.00783452227149,-1238.14255844,1.79461147054e-08
0.642570862448,0.00604316786577,0.00733745455706,99.9522540148,2.65557275049,-1442.82074594,635,-1672.7331887,0.823829558625,-1361.87395796,2.03855491991e-08,0.976660356659,15,-0.00604314748022,-1234.31378213,-2.96299912383e-08
0.606145618099,0.0066701512522,0.00707756922279,94.8290035488,2.50503700108,-1440.80168665,637,-1662.656537,0.84378513863,-1360.06664661,1.64499676554e-08,0.918303505319,16,-0.00667013480223,-1233.51460214,-3.8200009822e-09
0.609944033928,0.00970787109635,0.00664704753614,98.5856506143,2.52073483327,-1445.69800046,632,-1656.35892355,0.825189255177,-1364.19054022,-2.2260931006e-09,0.924550459522,17,-0.00970787332245,-1241.39948498,3.19467449716e-08
0.601519365151,0.00609600723628,0.00693848862377,97.4199009534,2.48591794047,-1434.74376483,638,-1683.3257611,0.823459272165,-1354.34758124,1.46006331084e-08,0.910641983884,18,-0.00609599263565,-1233.8974983,-2.88695680695e-08
0.565576782272,0.0131988493272,0.00979822321622,94.4611369141,2.33737690126,-1444.29753308,637,-1687.70351586,0.844516054813,-1363.67478298,6.04035842401e-09,0.849029318231,19,-0.0131988432868,-1233.32859268,3.31799229203e-08
0.5758834279,0.00687108547088,0.00674334036747,99.9483264302,2.3799714988,-1450.961215,636,-1670.58461387,0.836905351349,-1370.12357807,-6.63729324492e-09,0.867088512319,20,-0.00687109210817,-1240.60984409,1.67590026301e-08
0.559375272194,0.00609440020477,0.00675011862101,106.431083866,2.31174772612,-1435.71749703,642,-1676.40501479,0.261541052973,-1355.86400913,2.42004576558e-10,0.838003829855,21,-0.00609439996276,-1237.46370322,4.29611861641e-08
0.531553234018,0.0052909488181,0.00680115613118,102.310588418,2.19676671661,-1438.96070941,642,-1598.0654235,0.829224715254,-1359.12446508,-6.41129041976e-09,0.786986605066,22,-0.00529095522939,-1243.83053119,-4.52715942512e-08
