AverageDiscountedReturn,Entropy,ExplainedVariance,NumTrajs,Iteration,LossAfter,Perplexity,MinReturn,MeanKLBefore,MaxReturn,AveragePolicyStd,dLoss,StdReturn,MeanKL,LossBefore,AverageReturn
-814.279292008,1.4189385332,6.20614670765e-14,242,0,-0.018825856674,4.13273135412,-998.713404805,0.0,8.85863312537,1.0,0.0188258598885,234.454355315,0.00842661050123,3.21450426405e-09,-938.72169824
-757.360547212,1.40886552426,0.275971977404,188,1,-0.0181275078959,4.09131127685,-998.750874533,-2.35761476192e-08,12.460654465,0.989977553892,0.0181275014346,302.731622929,0.00653420079897,-6.46128982821e-09,-894.874728994
-753.197128783,1.38062929435,-0.716616923505,190,2,-0.0103087933911,3.97740379786,-998.66161362,9.37740143175e-09,10.7184533429,0.962415278674,0.010308787671,308.618077232,0.00685559290647,-5.7200273876e-09,-890.376294491
-703.800694472,1.36695247589,0.301673084441,159,3,-0.0197461916266,3.9233758754,-998.685189275,2.93072704924e-08,11.7656103477,0.949342103132,0.0197461975674,365.779862558,0.00656459776988,5.94080318535e-09,-838.445653429
-522.786562493,1.34838882162,0.213257026062,106,4,-0.0192372183346,3.85121553413,-998.715078077,2.8495666396e-08,11.1341128504,0.931881413072,0.0192372099925,484.601683367,0.00696478024572,-8.34216641579e-09,-626.564437525
-431.900945408,1.3185604669,0.174883261766,89,5,-0.0170655668885,3.7380364751,-998.66769791,2.32649285392e-08,12.635483023,0.904495394158,0.0170655705242,499.844102259,0.00904896160922,3.63570540607e-09,-544.025814368
-297.950390082,1.29205571188,0.166761595018,75,6,-0.025515100609,3.6402621995,-998.509732709,3.13264431617e-08,13.9836697194,0.880836881852,0.0255150828506,482.110859493,0.00930325503095,-1.77583903184e-08,-352.981801323
-56.4949447184,1.27015101983,-1.58710721735,57,7,-0.0161163362124,3.56139036231,-998.086048132,1.8085118042e-08,14.1360252502,0.861752206264,0.0161163606554,257.267159472,0.00959944742198,2.44429888555e-08,-61.3708654158
-140.977153422,1.23304784371,0.0658040470381,61,8,-0.0216866895618,3.43167281588,-997.85807188,-3.25505853105e-08,12.2851049713,0.830364357571,0.0216867044337,399.683889768,0.00945225702049,1.48718545226e-08,-187.946826449
-11.4275761877,1.17823222353,-0.161701253542,54,9,-0.0162519459863,3.24862627876,-988.662348318,-4.43595606081e-08,12.3309806555,0.786072454364,0.0162519562417,188.450381052,0.00982867210454,1.02554664577e-08,-27.7945034633
-9.47686636013,1.16903629972,-35.3915440939,54,10,-0.00284726347595,3.21888909901,-996.93377298,-3.96443620432e-08,13.2283309186,0.778876927435,0.002847263937,135.703508532,0.00660351603115,4.61047656408e-10,-9.06232468354
-9.70943844388,1.13918541445,0.0392510125757,54,11,-0.0108955939231,3.12422238196,-998.001377325,5.903770528e-09,14.0845799915,0.755970353322,0.0108956134133,135.795265513,0.00676767536437,1.94902409831e-08,-9.48694460884
7.53165344992,1.12836535348,-15.1168235572,54,12,-0.014925097731,3.09060032966,6.18902855707,1.9436952825e-08,13.9077947336,0.747834800967,0.0149251023671,1.51643325755,0.0093219275346,4.63611005294e-09,9.56205113368
-25.5683274477,1.09298820867,-0.00882587820611,55,13,-0.0095178938633,2.9831751166,-998.53265285,1.24957369452e-08,13.5303895804,0.72184104433,0.00951788680327,188.718088279,0.00918819754798,-7.06003108348e-09,-27.055178707
-9.64442662038,1.07823668494,0.0192897383183,54,14,-0.0123419813951,2.93949172848,-997.770185655,-1.11327037033e-08,13.4768792203,0.711270943259,0.0123419766746,135.735181503,0.00997574961042,-4.7205048985e-09,-9.65725082519
8.11183614561,1.03934545888,-5.68786721789,54,15,-0.0169302810146,2.82736578141,6.75341251014,-2.24947284688e-08,14.263644958,0.684139746608,0.016930287531,1.98129566556,0.00764642434295,6.51631093612e-09,10.0541950818
7.96441580723,1.03565044774,-0.230305335806,54,16,-0.00705128558451,2.81693791076,7.32071698108,-2.47433192824e-08,15.5312563596,0.681616507193,0.0070512857693,2.07506122971,0.00706283290763,1.84792626805e-10,9.88943097803
8.77376670131,1.03339587225,0.361545011771,54,17,-0.0141376519637,2.81059406562,8.30143416658,1.64146696235e-09,17.5587688117,0.680081482387,0.0141376517723,1.74034675871,0.00867409769353,-1.91360627297e-10,10.9224833898
9.36172294936,1.04332055225,-0.228722679595,54,18,-0.0164210813302,2.83862719211,8.40678129776,-1.54323048229e-08,22.2830930991,0.686864678316,0.016421093448,2.56186320231,0.00899702734569,1.21178097922e-08,11.9078012834
10.2335928779,1.05885453596,-1.76702882315,54,19,-0.0117112249595,2.88306664794,8.51264042633,-2.75848239251e-08,26.4084192317,0.69761772564,0.0117112289781,3.66394161633,0.00675085114693,4.01858584623e-09,13.2414684348
14.1436270847,1.05778692736,0.347026028156,54,20,-0.0177910207755,2.87999030367,9.01729889808,2.74376626419e-08,44.4384670638,0.696873340387,0.017791016319,7.45040512923,0.00654964579285,-4.45655396889e-09,18.1496691386
14.2356146173,1.06189410462,0.549235854316,54,21,-0.0156198168371,2.89184325878,8.87598107616,2.19866794771e-08,40.2363630594,0.699741408522,0.0156198158131,7.64382124692,0.0067059829616,-1.02397657752e-09,18.7898399265
17.1378281579,1.04742802753,0.361815344376,54,22,-0.0145994146453,2.8503107617,11.0926865231,2.57038536011e-08,58.6098943089,0.689691760113,0.0145994311787,11.661422129,0.0065700120476,1.65334017992e-08,24.5278123605
