Entropy,NumTrajs,LossAfter,MinReturn,MeanKL,Iteration,ExplainedVariance,AverageReturn,Perplexity,AverageDiscountedReturn,MeanKLBefore,AveragePolicyStd,LossBefore,dLoss,StdReturn,MaxReturn
1.4189385332,63,-0.00889352439746,-1000.0,0.00676535140654,0,2.35478303523e-13,-189.841269841,4.13273135412,-150.226348474,0.0,1.0,1.31686334451e-08,0.00889353756609,392.743027839,4.0
1.43680740035,59,-0.0111400419277,-1000.0,0.00518593895494,1,-0.0652773522178,-168.576271186,4.20724231226,-116.728167435,-7.90408194451e-09,1.01802947052,2.31158523082e-08,0.0111400650435,375.513894364,7.0
1.4319423016,61,-0.00138387588544,-1000.0,0.00727819362993,2,-112.362008937,-211.737704918,4.18682337332,-145.681668823,1.27794705061e-08,1.01308868508,-2.27412326502e-09,0.00138387361132,409.830708817,11.0
1.42243287041,62,-0.297889996207,-1000.0,0.0032747614493,3,-19.1486791355,-289.241935484,4.14719777159,-180.42196007,2.45961044904e-08,1.00350044951,1.6322705398e-08,0.297890012529,453.752230439,7.0
1.43859332314,60,-0.0238736455037,-1000.0,0.00259854819837,4,-38.220768327,-199.016666667,4.21476283575,-127.582545498,-3.67510995178e-08,1.01984921704,9.01544347662e-09,0.0238736545191,400.328177527,8.0
1.43894809372,66,-0.0146552333065,-1000.0,0.00756398289716,5,-0.269399913163,-438.757575758,4.21625837484,-260.207413615,2.67308349622e-08,1.02021109372,-9.2314965417e-10,0.0146552323834,496.481714412,9.0
1.40062980986,56,-0.00288746551372,-1000.0,0.00531302895548,6,-0.422630545832,-88.5178571429,4.0577547762,-52.4333543134,-2.80208766745e-08,0.981857863119,-5.11506143744e-09,0.00288746039866,285.399844271,6.0
1.39551475159,60,-0.00973304291013,-1000.0,0.00696177481854,7,0.0291954721099,-249.35,4.03705211686,-148.099132229,1.30271681012e-08,0.976848425638,-7.9174207191e-09,0.00973303499271,433.158663194,6.0
1.35135635807,69,-0.00402567426163,-1000.0,0.00384502641734,8,-40.9905971404,-318.231884058,3.86266113081,-240.257035793,-2.18050683481e-08,0.934650912395,9.04523430256e-10,0.00402567516615,466.227478997,5.0
1.35040685608,60,-0.0126113206012,-1000.0,0.00727389132409,9,-0.571998518939,-149.116666667,3.85899526703,-113.057591665,-3.53635146028e-08,0.933763880678,-8.86768437139e-09,0.0126113117335,357.445804361,6.0
1.42050435467,57,-0.00940729653521,-1000.0,0.00578930542539,10,0.0863484448265,-104.245614035,4.13920754256,-74.6765250875,-1.79620671702e-08,1.00156704801,2.19093711898e-09,0.00940729872614,307.244646832,6.0
1.4052035937,55,-0.00860138005333,-1000.0,0.00650298907161,11,-0.0341073630706,-34.9272727273,4.07635657729,-28.0428549945,-1.02957632038e-08,0.986358954406,5.45731174422e-09,0.00860138551064,187.481960785,7.0
1.39677139817,56,-0.00669711500537,-1000.0,0.00912795675826,12,0.0308139405273,-52.6071428571,4.04212845354,-41.3743782074,1.77617160285e-08,0.978076750503,-2.15583474272e-10,0.00669711478979,225.402867786,6.0
1.42847033663,54,-0.00179425482027,-1000.0,0.00998981135849,13,-0.0356117207936,-16.5555555556,4.17231207517,-13.4354190898,-9.13153294299e-09,1.00957737575,-7.83055421465e-09,0.00179424698972,135.100191445,7.0
1.44509731306,54,-0.00708420268543,0.0,0.00843486702683,14,-30.4793641304,2.16666666667,4.24226495054,1.41947751802,1.71376689125e-08,1.02650392368,1.28361739446e-08,0.0070842155216,2.40947204913,11.0
1.45705197825,54,-0.0056006430288,0.0,0.00924754757141,15,-0.310715661691,2.07407407407,4.29328415881,1.29541527476,6.10237425314e-08,1.03884907847,3.02686135362e-09,0.00560064605566,2.74773881348,11.0
1.44675096198,54,-0.00552188610929,0.0,0.0083752151096,16,0.052786538959,1.7962962963,4.24928597091,1.18820778355,-4.71498207942e-08,1.02820280507,1.17455957974e-08,0.00552189785488,2.29637096653,8.0
1.44981477669,54,-0.00938525757094,-997.0,0.00894708154226,17,-0.000508345402775,-16.462962963,4.26232496012,-9.39774164064,4.3934954258e-08,1.03135785874,1.96419406919e-08,0.00938527721288,134.705400503,9.0
1.42564372047,55,-0.00720977025781,-1000.0,0.00911887089688,18,0.000889141827585,-34.6909090909,4.16053520259,-27.5233357469,-3.17468541473e-09,1.00672771736,1.11769186872e-08,0.00720978143473,187.528797568,9.0
1.50006048455,54,-0.00660865733389,0.0,0.00654932342787,19,-139.929442146,1.92592592593,4.48196015147,1.17495973944,1.34093354337e-08,1.08450314512,2.25704884453e-09,0.00660865959093,2.01707389692,7.0
1.48163121267,54,-0.0110176594824,-1000.0,0.00809604172019,20,5.1566866799e-05,-33.7222222222,4.40011735724,-14.1173742686,-4.88204022764e-08,1.0646995849,8.50762634275e-09,0.01101766799,189.43428614,12.0
1.4583076544,54,-0.00448153065758,-1000.0,0.00732707928157,21,-0.0521228590902,-16.037037037,4.29867851941,-12.9101522162,7.71495298896e-09,1.04015435582,-1.66470962521e-08,0.00448151401048,135.185464231,12.0
1.50684858932,54,-0.00614366741959,0.0,0.00844303626264,22,-29.3362125295,2.07407407407,4.51248766131,1.1837816233,-6.00717478122e-08,1.09188990879,-2.10175209211e-08,0.00614364640207,2.37932336983,8.0
1.48866893424,54,-0.00688213913947,0.0,0.00842346458123,23,0.0800295841656,3.14814814815,4.43119338204,1.87567711282,-2.94112341426e-08,1.07221907314,1.40457541431e-08,0.00688215318523,3.12343239145,12.0
