MaxKL,ExplainedVariance,AveragePolicyStd,Perplexity,AverageReturn,MaxReturn,NumTrajs,LossBefore,MeanKL,Iteration,MinReturn,AverageDiscountedReturn,Entropy,LossAfter,StdReturn
0.42781838824819035,8.09352584952e-14,1.0,4.13273135412,-795.012366524,39.6787278923,75,-0.03319021432371891,0.13747981892995084,0,-998.027033581,-451.226930728,1.4189385332,-0.07689916812919137,394.716917014
0.11790354255790507,-0.51430097071,0.999000504554,4.12860070796,-19.5404286582,58.8724109019,55,0.007045951269225056,0.027185015338312222,1,-997.544828853,-14.6480931652,1.41793853793,0.011692559576883975,232.920796244
0.057440782569248894,0.0249907979951,0.998500300278,4.12653349806,-96.5344468126,49.6771764993,59,0.02577877717327741,0.01045752425763315,2,-999.99927433,-79.9616482539,1.41743770781,0.01956620099630024,330.713779847
0.08798402172958585,-0.0288728670606,0.998578730167,4.12685762772,-21.1136683336,57.6379242924,56,0.011345960837785699,0.010398206272696293,3,-999.99800734,-22.7161838475,1.41751625241,0.007790383806418118,232.315760265
0.03691275752471035,-0.0245864649955,0.998790297918,4.1277319804,-38.7184867759,56.4043424663,55,-0.01624415962161289,0.0017359739004883786,4,-999.441095539,-23.8063265458,1.41772809884,-0.019539738798798962,265.511004511
0.05838443850561216,-2.14324744273,0.998769498837,4.12764602338,-58.3694702413,52.4284107059,57,-0.0011699504579263077,0.0015022149482670703,5,-999.999669177,-49.5619372438,1.41770727435,-0.0025465408504145247,291.956383827
0.081082127722704,-0.211672325726,0.99873857606,4.12751822786,13.594973798,53.0399988606,54,0.005431785579928498,0.004679023038118208,6,-999.510356787,6.05508706683,1.417676313,0.0005838985753074247,139.457348253
0.058177331343886945,-0.00635934716409,0.998769938462,4.12764784023,15.9364611687,59.0420675909,54,-0.017624734391326106,0.0038429918827567935,7,-996.861743332,4.81119250958,1.41770771452,-0.018959743500840034,139.399382837
0.05637245957106688,-81.1549464589,0.998622600807,4.12703893329,16.1979929954,53.4210749063,54,-0.0074126317117814,0.00547488951219542,8,-999.915236345,6.754409475,1.41756018453,-0.006876460271294923,139.84237275
0.09021054346259538,0.00109623902599,0.998422133304,4.12621045495,-43.3490178103,52.1816540291,56,0.00626565745190928,0.018343809766245764,9,-999.865599664,-35.8908044914,1.41735942037,-0.0030456003492068456,263.796474
0.07943348754172182,-220.727961555,0.99830372098,4.12572108863,37.488646952,57.8947801772,54,-0.005372571060644708,0.005876980698360186,10,13.1574373719,23.4018599262,1.41724081387,-0.007202998538255825,10.3572505879
0.04765592973726803,0.660880588761,0.998147990054,4.12507749455,37.3179160235,60.8907938141,54,-0.049929399565529005,0.0014468160995919977,11,23.9268805931,23.2395539484,1.41708480617,-0.05161302067868145,7.36414717675
0.0783384173696786,-0.00526057167244,0.997713017072,4.12327986807,19.3403975527,53.590987917,54,-0.012976252269167442,0.002244133340132371,12,-977.088218817,14.073241714,1.41664893114,-0.015145294739887679,137.113625363
0.12128488643946413,-0.20482021202,0.997241689766,4.12133199894,-0.633812992343,59.8669773517,55,-0.002332455628954453,0.004015897629634258,13,-998.529273251,-7.10155446749,1.41617641182,-0.0030871367838325526,193.968213885
0.11852507469545386,-3065.18270401,0.99680085909,4.11951016418,41.0969660969,58.0405058541,54,-0.004789335857873707,0.00447116243848832,14,23.166141958,25.4709596884,1.4157342641,-0.004601453337486992,8.16745924808
0.08809110597919168,-0.00534263947789,0.996371158566,4.11773432735,19.6838384223,58.8780679588,54,0.005830091070266227,0.00693835865599761,15,-999.973731685,8.87993031601,1.41530309155,0.003133247811411703,140.309375011
0.019708560536066982,-0.00559752539953,0.996021962227,4.11629119269,20.5044023874,60.0328434895,54,-0.0053421387910986915,0.0007579451017522637,16,-969.042507679,16.2001601394,1.41495256199,-0.005659666321805669,136.116176105
0.010763029916401576,-11.2439832467,0.995670330104,4.11483799159,39.666266111,54.0161785993,54,-0.008507265950435081,0.00021297878883642425,17,22.3218410746,24.530280779,1.41459946315,-0.010196585588850006,7.9844749734
0.07210978078320224,-0.00405512366426,0.995296180846,4.11329173322,21.8381185944,56.3784088503,54,-0.024034792499275065,0.007422671607293356,18,-988.02750165,14.5287718082,1.41422361628,-0.028484304131153198,138.876238898
0.04176857069574738,-0.490720708368,0.994818305551,4.11131680301,41.4745273346,63.3128555787,54,0.008094454247243109,0.0020407021935781654,19,22.7356740883,25.5432797098,1.41374336722,0.00697279992489914,9.01936445758
0.11466745872394918,0.00459488669202,0.994438599143,4.10974757843,23.4595770822,60.7096166074,54,-0.015594857774023597,0.004308300103882457,20,-971.61031419,17.3685232718,1.41336161018,-0.019431006356418663,136.966571664
0.09285650303960362,0.205613606133,0.994000056429,4.1079351992,41.1902126547,63.7000342606,54,0.010957619720974997,0.0045021927655496665,21,17.2598298181,25.0820519197,1.41292051765,0.010054302363508844,10.3503905753
0.12542388011157202,0.747313133354,0.993675096143,4.10659222564,43.0991906163,59.857505443,54,0.0007245036113992852,0.006612383748386924,22,21.0599265365,26.2052066487,1.4125935424,-0.004823649919113186,8.37529656794
0.15889000773147322,0.784979679341,0.993384020997,4.10538929026,43.9834581004,67.0031219598,54,-0.024358047869452417,0.013423658118185093,23,22.1595510892,27.1427780637,1.4123005716,-0.03234367439677796,8.58225770437
0.2977093599465365,0.817645357454,0.992977509829,4.10370928881,43.4991662575,64.2508323295,54,-0.03088677711657822,0.036035406906375966,24,26.6424233041,26.7433463044,1.4118912693,-0.04264263833803902,6.24265351451
