dLoss,MeanKLBefore,MaxReturn,LossBefore,MeanKL,NumTrajs,AverageDiscountedReturn,AveragePolicyStd,StdReturn,LossAfter,ExplainedVariance,Iteration,AverageReturn,MinReturn,Entropy,Perplexity
0.0208470407793,0.0,48.5141780411,-4.37496646352e-09,0.00769646356457,58,-121.499075614,1.0,458.170603686,-0.0208470451542,1.07247544179e-13,0,-244.248257305,-1008.49441778,1.4189385332,4.13273135412
0.0156141409354,5.95982426604e-10,45.4751673929,5.15919758401e-09,0.0030267593511,56,-85.8302683306,0.979143195945,428.940558801,-0.0156141357762,-111.821016295,1,-199.778258412,-993.21942173,1.39786115362,4.04653578606
0.0303995772709,-9.6545729536e-09,48.4569530489,6.58653145475e-10,0.00849407008922,58,-147.177368232,0.978897882303,480.481445335,-0.0303995766122,-39.5399376429,2,-299.200046538,-1002.09160893,1.39761058314,4.04552197068
0.00852658047384,1.07253071806e-08,48.7148217809,2.01260160586e-09,0.00752589162012,59,-138.914691631,0.973430850862,470.128956809,-0.00852657846124,-27.6685519901,3,-275.668243012,-1006.7106166,1.39201004504,4.02292819843
0.0096689656703,1.11392833776e-08,45.0592915236,2.45865375318e-10,0.00671512101201,63,-248.960351761,0.965433400834,512.330887937,-0.00966896542444,-3.4543140839,4,-481.689893539,-1003.94979933,1.38376037477,3.98987688594
0.00424352097866,-4.25673871846e-08,52.8257812492,-3.42321393325e-10,0.00436002055802,60,-154.885510595,0.941146759902,483.065834046,-0.00424352132098,-0.535092551861,5,-300.404957409,-999.633891134,1.35828234329,3.88950672348
0.0186347866118,3.07062057309e-08,48.6508118626,-1.24364659239e-09,0.00783728513293,62,-217.218195965,0.936099981083,510.455202155,-0.0186347878554,-134.519290209,6,-423.935256219,-1006.11992243,1.35290554239,3.86864974241
0.00732431445303,-1.3497109097e-08,52.9215429561,4.32735595261e-09,0.00800974642873,58,-118.019712185,0.946168005017,447.98647834,-0.00732431012567,-106.136057718,7,-227.320345354,-1000.20239321,1.36360340266,3.9102581806
0.0196122517593,8.0294674798e-09,49.9915934358,-7.74998010921e-09,0.00880375253408,57,-59.9730134344,0.934145672985,355.994863582,-0.0196122595093,-18.0997459405,8,-109.240334452,-999.550114848,1.35081564708,3.86057311206
0.0162123624494,-2.07342758241e-08,59.117177311,-1.12635125405e-08,0.00695521548942,54,3.57325057673,0.926727120682,194.105026972,-0.0162123737129,-2.28901027306,9,-2.13148756811,-999.901037945,1.34284240826,3.82991422836
0.00972311973158,-3.95724498031e-08,56.3629551192,2.36268116963e-09,0.00768151268427,54,23.2910862934,0.901747967759,7.13719554179,-0.0097231173689,-20847.7787886,10,36.168544427,19.7290294268,1.31551832034,3.72668209987
0.0089621991227,1.16505538411e-08,47.9290442724,-9.75482759947e-10,0.00562210487687,54,6.29170192392,0.889233579446,139.994654791,-0.00896220009818,-0.0124039342304,11,17.0598101524,-1001.14517582,1.30154319926,3.67496349491
0.0198898776326,-1.4877556534e-08,50.0889516079,-7.29110734386e-09,0.00612471806963,53,24.213421665,0.884187535285,6.02319494072,-0.0198898849237,-22455.250983,12,37.9525345132,22.157604091,1.29585243835,3.65410955
0.014638717767,7.021488585e-09,54.6035188099,-1.27877440943e-08,0.00851982007554,54,25.4674941093,0.901795086152,5.60169160469,-0.0146387305547,0.582086434558,13,40.1015952515,26.9647726993,1.31557057126,3.72687682753
0.0158166145117,-1.60999356486e-08,56.0891417111,9.97049755397e-09,0.00932755021647,54,28.000511224,0.893206967296,4.8346382172,-0.0158166045412,0.865726506417,14,44.617896734,33.8843927228,1.30600157453,3.69138443946
0.0122346239604,-2.74341313555e-09,52.6693379855,2.0898505029e-09,0.00612332091877,54,27.0825213346,0.872457969429,3.94496156756,-0.0122346218706,0.900852959928,15,43.4260088344,32.4148101424,1.28249773456,3.60563440541
0.00360561198579,9.45469474933e-09,57.3084475002,1.7233734211e-10,0.00473826652584,54,29.2087199014,0.855649772817,4.35796593987,-0.00360561181345,0.905967766671,16,46.958257405,38.1779232818,1.26304440274,3.53617064427
0.00946271181406,3.62113173336e-08,54.1055429215,4.72689974371e-09,0.00757539107924,54,28.1506475209,0.83924070999,4.13874897401,-0.00946270708716,0.908579469556,17,44.9831067116,34.5607665286,1.2436808206,3.46835639583
0.00968818946979,4.37774011486e-10,57.866783249,1.03546656173e-08,0.00791018363048,54,29.9979488338,0.837517038916,4.22296958883,-0.00968817911512,0.920967258955,18,48.2258199375,39.9373423411,1.24162486269,3.46123292634
0.00482700378467,2.51909467452e-08,56.5796070931,6.24980882666e-09,0.00459231556643,54,31.0188889522,0.831376957189,4.26926778307,-0.00482699753486,0.932670241377,19,49.769554462,41.7669474711,1.23426656498,3.43585761807
0.00861066654662,1.08409987654e-08,52.6835305631,-1.35375508717e-08,0.00636547994464,54,29.5065457532,0.828866006307,3.38856316401,-0.00861068008417,0.943081109679,20,47.1549770195,39.6858757384,1.23124176337,3.42548053263
0.00656520556003,-2.76436564473e-08,58.1222026735,-1.36221904995e-09,0.00602391294869,54,31.2823243254,0.820030695285,4.71271972566,-0.00656520692224,0.9199613414,21,50.0086679283,37.8283349696,1.22052502705,3.38896656575
0.00547036767753,2.32554654978e-08,60.2017365727,-1.16666902231e-08,0.00575875046231,54,31.2083144828,0.816476389224,4.57504342422,-0.00547037934422,0.929791781777,22,50.1196306211,42.2692033397,1.21618124916,3.37427757365
