NumTrajs,LossBefore,ExplainedVariance,MeanKL,Entropy,Iteration,MeanKLBefore,MaxReturn,AveragePolicyStd,dLoss,AverageDiscountedReturn,LossAfter,AverageReturn,Perplexity,StdReturn,MinReturn
62,2.81787923107e-09,8.32667268469e-15,0.00777216788534,1.4189385332,0,0.0,-2235.44852957,1.0,0.000363479632962,-3625.14850927,-0.000363476815083,-5572.91478003,4.13273135412,1261.14643576,-7850.42952592
73,1.7984953669e-09,0.529562447051,0.00652508924842,1.40724053773,1,1.53122256454e-08,-1540.58554915,0.988370160053,0.0120395420798,-3364.67722312,-0.0120395402813,-5130.72910726,4.08466834993,1888.37927892,-7489.93862831
113,-4.19187559022e-09,0.228976018353,0.00881726407212,1.41066292933,2,-5.53411569695e-09,-1414.50068773,0.991758544669,0.016531786053,-2804.77206056,-0.0165317902449,-3830.37314349,4.09867163327,1828.6395049,-7738.14709389
144,-1.90468394824e-09,-1.50767343688,0.00502136770068,1.4193868067,3,-9.1485369915e-09,-1416.17835354,1.00044837398,0.0413013996636,-2317.88427871,-0.0413014015683,-3020.08298583,4.13458436335,1442.6521374,-7047.94963756
148,5.87442427552e-09,0.134930308814,0.00690563577394,1.42423959941,4,4.33454028104e-08,-1474.77820641,1.00531514172,0.0166059515501,-2426.7521891,-0.0166059456757,-3139.43515794,4.15469740696,1616.98401406,-7607.95541861
213,-1.44784181482e-09,-0.665033870852,0.0042951698968,1.45254348292,5,2.35642476781e-08,-1303.11955004,1.0341759745,0.00340434588874,-2058.77598088,-0.00340434733659,-2472.86189458,4.27397147551,1065.87244834,-6830.50320815
218,-4.66123053519e-09,0.0506750277742,0.00193116031729,1.456451793,6,3.30027154563e-08,-1367.53903805,1.03822576365,0.00779839978146,-2025.28189478,-0.00779840444269,-2440.842542,4.29070816611,1174.52635149,-7286.98179424
246,1.59213885662e-09,-0.958463805598,0.00699610626711,1.45786887108,7,-3.99216030997e-08,-1387.3776874,1.03969805355,0.0155385689381,-1949.00968915,-0.0155385673459,-2299.69108123,4.29679274474,992.109238122,-7234.5167571
275,-2.31827073638e-09,0.0195396250178,0.00654300671906,1.4915249653,8,3.64055804808e-08,-1286.31945318,1.07528574128,0.0171836380732,-1833.30428544,-0.0171836403914,-2121.07068286,4.44386709762,866.302368391,-6674.73957907
341,2.45253394694e-09,0.00552603969173,0.008783564894,1.48118682652,9,-6.14560180107e-08,-1336.23474305,1.06422655226,0.0235424020301,-1718.69166773,-0.0235423995776,-1920.65111128,4.39816244041,524.346873524,-4247.12349441
386,7.70425085529e-09,-0.292346788442,0.0078688924618,1.47989158406,10,2.86078981199e-08,-1314.08130607,1.06284901316,0.00521821352054,-1609.61343872,-0.00521820581629,-1773.7537267,4.39246944138,390.352076939,-4487.97006651
375,1.73934169663e-08,0.165495019288,0.00589276336853,1.47705502509,11,-1.09545770857e-08,-1253.71203555,1.0598384511,0.020187804308,-1632.35467084,-0.0201877869146,-1802.84007671,4.38002759715,378.825520655,-3982.67221008
419,-1.54919464459e-08,0.0625464206019,0.00910491667825,1.46695597543,12,3.17713127404e-08,-1246.89904574,1.04918895536,0.0173759583546,-1555.9157292,-0.0173759738466,-1700.19316503,4.3360160922,292.981075718,-3470.31436043
459,1.5476770955e-08,0.498531810868,0.0094581027539,1.452544526,13,-1.6373071475e-08,-1254.44284408,1.03417705323,0.0349052226261,-1509.86410754,-0.0349052071493,-1635.72304572,4.27397593361,205.32656358,-2421.46769181
484,-1.61984347703e-08,0.477241843831,0.00877732727391,1.44277005343,14,-7.06899886994e-08,-1280.62456585,1.02411776023,0.0245126117051,-1487.25269351,-0.0245126279036,-1604.19821298,4.23240357801,177.707690852,-2423.70165007
510,-2.15126731288e-08,0.669044718614,0.00652075379766,1.4245259527,15,-4.27023439872e-09,-1287.25409431,1.00560305824,0.0269734070159,-1451.6134859,-0.0269734285286,-1560.51249159,4.15588728858,156.949117146,-2270.05813005
537,-3.4719049249e-08,0.687382388033,0.00645092900981,1.40559762231,16,-1.72858467366e-08,-1261.43244714,0.986747684636,0.0215586737913,-1439.26473247,-0.0215587085104,-1540.50914268,4.0779630949,133.836684684,-2096.17827968
557,5.49915182307e-09,0.608136059148,0.00665597994339,1.39332657753,17,2.85473418099e-08,-1247.86929358,0.97471324818,0.0145026097352,-1410.84468184,-0.014502604236,-1507.25733619,4.02822800203,123.138527038,-1908.46995397
567,6.32423134115e-09,0.739174783427,0.00662589984166,1.36266385092,18,-2.16928691121e-08,-1254.3718198,0.945279448709,0.018599557992,-1410.68502341,-0.0185995516678,-1504.92775553,3.90658601609,129.369167219,-2166.21629717
582,-6.32770596881e-09,0.780635290263,0.00656078566225,1.32717122211,19,-2.62240780202e-08,-1242.72011646,0.912317410987,0.0212513509383,-1405.49364834,-0.021251357266,-1496.44145263,3.7703627693,118.919166981,-1888.07849758
593,-4.60586911048e-09,0.771829621219,0.00703680781252,1.30563874616,20,3.33750613257e-09,-1249.0244283,0.89288294525,0.0206224228199,-1393.03772212,-0.0206224274257,-1481.69039117,3.6900453434,121.066696481,-1828.52466927
613,8.74670897958e-09,0.796166683904,0.00687700536308,1.27445228471,21,3.28790939197e-08,-1228.97215898,0.865466813794,0.012179241859,-1377.22285113,-0.0121792331123,-1462.13600475,3.57674183732,110.440585912,-1773.43030505
620,6.46269040582e-09,0.809157317336,0.00822880578618,1.23717798366,22,-8.45689823725e-09,-1241.40444778,0.833800970536,0.010166634462,-1367.36358426,-0.0101666279993,-1450.92311936,3.44587541403,106.322950682,-1805.47288441
628,1.62867617155e-09,0.817285780456,0.00990611010633,1.18760058357,23,-1.25542537477e-09,-1234.11646788,0.793471267395,0.00987117080555,-1369.67513131,-0.00987116917688,-1451.96993045,3.27920358536,104.167211009,-1706.15512144
633,-9.59953854811e-09,0.818694452306,0.00761098469899,1.14641217961,24,4.54408251027e-08,-1236.84716028,0.761453361875,0.00858168094837,-1371.63371974,-0.00858169054791,-1452.94359217,3.14688218332,105.777694334,-1692.43513425
636,-2.4793128726e-09,0.828146489202,0.00912911521104,1.10982967986,25,3.30786825709e-09,-1228.2102203,0.734100856347,0.00463558129569,-1361.84778716,-0.004635583775,-1442.84865953,3.03384162611,98.7030401352,-1691.2653729
639,-8.70904511997e-09,0.841302842577,0.00374190018475,1.08753834738,26,-2.95332012179e-08,-1235.55429386,0.717917811016,0.00436147692725,-1364.18662716,-0.0043614856363,-1444.62030365,2.96696144727,97.6629036755,-1588.33683711
639,1.31457824146e-08,0.818588711136,0.00698937535528,1.10648451819,27,2.5103131629e-08,-1246.26563143,0.731649273053,0.0041810621869,-1361.09908248,-0.00418104904112,-1441.39293191,3.02370989097,103.323958368,-1853.26592588
