LossAfter,MeanKL,Iteration,dLoss,AverageReturn,MaxReturn,Perplexity,ExplainedVariance,StdReturn,AveragePolicyStd,MinReturn,AverageDiscountedReturn,LossBefore,Entropy,MeanKLBefore,NumTrajs
-0.0268041286883,0.00846671683874,0,0.0268041326737,-756.270855097,18.8463063302,4.13273135412,5.99520433298e-14,432.890180218,1.0,-1008.48615619,-539.759863718,3.98543198561e-09,1.4189385332,0.0,99
-0.0215951441281,0.00853018578499,1,0.0215951360246,-451.540326218,18.0720486403,4.13740511579,0.123791627024,502.374537887,1.0011309135,-1007.33222572,-293.969186322,-8.10351189499e-09,1.4200688077,4.11074421085e-08,70
-0.0182124800411,0.00810483182528,2,0.0182124780191,-440.923752131,21.4118471317,4.02582868128,-0.114107625729,500.566822699,0.9741326828,-1005.2473741,-267.040770385,-2.02199744802e-09,1.39273077323,-2.52152588531e-08,67
-0.016325672651,0.00709665192182,3,0.0163256682868,-233.585473176,26.6421521303,3.96835411585,0.035290344477,432.595293507,0.960225520562,-1001.6174753,-152.690417028,-4.36415793915e-09,1.37835142835,1.14852116082e-08,62
-0.0104971424173,0.00682705890066,4,0.010497137339,-154.879771003,31.9164950576,3.86368116687,0.0123387622813,376.749916718,0.934897731258,-1002.23356442,-114.563790846,-5.0782402958e-09,1.35162039919,-1.07587485448e-08,60
-0.0100209408568,0.00664749709244,5,0.0100209376726,-57.7489918493,28.4998818282,3.79056672081,-0.310297179344,260.786810789,0.917206175772,-1002.89788031,-42.9971759178,-3.18417190089e-09,1.33251553847,-2.09386161187e-10,56
-0.0119035353024,0.00780599659017,6,0.0119035374961,15.5625723366,28.1341904244,3.77371066993,-1855.08710378,5.21101744699,0.913127504929,4.92341279386,10.5546436366,2.19368876106e-09,1.32805877997,-2.05595258457e-08,54
-0.0138825175265,0.00827819173557,7,0.0138825134461,-55.6653107179,27.8541068808,3.72028898327,-0.00489006245748,260.202829758,0.900201020702,-997.585878485,-36.6005866509,-4.08043534441e-09,1.31380134894,-9.55795462221e-09,56
-0.019457167439,0.00653688882094,8,0.019457168513,-20.634140413,32.110509369,3.71593703916,-1.62129387319,191.274343791,0.899147977632,-995.304803114,-6.93915946048,1.07394635493e-09,1.31263087763,2.75183720255e-09,54
-0.0144679953238,0.00384513738737,9,0.0144679948035,14.7935098223,25.9366855073,3.7056597683,-3370.85292614,6.24858814974,0.896661178958,3.20032199166,9.95008993594,-5.20292436808e-10,1.30986131801,-3.59014448587e-08,54
-0.0135691291346,0.00698747237304,10,0.0135691313777,13.3630408868,24.3909527975,3.70352935582,-5.26219090875,5.05922765058,0.896145681505,5.37302037814,9.09954120474,2.24311617955e-09,1.30928624495,1.19708708363e-08,54
-0.0185504676293,0.00897757069798,11,0.0185504671909,-94.079957463,28.8439847091,3.70119979485,-0.00841367501707,311.372628944,0.89558199595,-995.764415899,-52.7145240064,-4.38411194213e-10,1.30865703596,3.06314326681e-08,56
-0.0138022626771,0.00714514484921,12,0.0138022666373,-57.6246006319,29.738644826,3.72689043358,-0.076126350512,259.637286024,0.901798378418,-1000.83260638,-37.6286339363,3.96016903215e-09,1.31557422205,-1.57570402837e-08,56
-0.00886353902217,0.00791597459393,13,0.00886353984891,15.946283261,40.424496576,3.65236847536,-268.163069712,7.30632151452,0.883766246193,6.14837137193,10.9501499165,8.26748317151e-10,1.29537585451,-1.48906552644e-08,54
-0.0158868194696,0.00773496013453,14,0.0158868164056,12.6008555767,27.1246045472,3.70465575349,-2441.24277553,5.6077161876,0.896418236766,5.82111279711,8.63072178503,-3.06401223152e-09,1.30959034039,-2.10504794013e-08,54
-0.0226775171646,0.00895525222689,15,0.0226774996619,13.6940843606,27.6595247359,3.69516233488,-0.476025005554,7.2047429798,0.894121107386,2.63160161867,9.31633415017,-1.75026743323e-08,1.3070244871,-7.13893602566e-09,54
-0.0191027180976,0.00598516713562,16,0.0191027327577,19.2650279476,29.0543695414,3.67116314311,0.29534149072,5.09792280053,0.888314005567,10.9069945171,12.8264969534,1.46600906634e-08,1.30050854458,4.41942343832e-09,54
-0.0083483915392,0.00220160804546,17,0.00834838148592,25.0572867811,40.9306261764,3.58994221072,-5.89695551465,8.68859175709,0.86866091771,11.4327289681,16.1840033349,-1.00532781049e-08,1.27813610508,3.64901411865e-09,54
-0.0148458486223,0.00675919830901,18,0.0148458102168,-13.7542513986,39.0819342299,3.57893122664,-0.0455822628335,189.897162372,0.865996581915,-981.426758666,-2.63609434419,-3.84055201538e-08,1.2750642158,2.06836969496e-08,54
-0.0084556464747,0.00936297414699,19,0.00845564485509,23.2859563962,37.8040821712,3.45212786792,-8766.62670213,6.6466134286,0.835313881333,11.2945266665,15.5453860238,-1.61961364728e-09,1.23899081423,-1.66680111657e-08,54
-0.023432705971,0.00937756746679,20,0.0234327029504,27.8991360465,45.1837046554,3.4779127175,0.556622027626,8.01624548664,0.841553060068,14.6212274355,18.2553594371,-3.02057039957e-09,1.24643232002,-5.03653432571e-08,54
