MaxReturn,AveragePolicySurr,AverageAbsY,AverageY,AverageQ,QFunRegParamNorm,MinReturn,AverageReturn,AverageEsReturn,Epoch,PolicyRegParamNorm,AverageDiscountedReturn,StdReturn,AverageAbsQYDiff,StdEsReturn,MaxEsReturn,MinEsReturn,AverageAction,AverageQLoss,AverageAbsQ
8.11397049148,-1.04808502754,1.05104719358,1.05104719358,1.04619205044,8.0595357672,8.11397049148,8.11397049148,18.9759205047,10,8.03814379417,3.96462703896,0.0,0.0625727288441,14.6334569717,61.2513950152,1.99017076043,0.94298230177,0.0248333600188,1.04746884495
1.80720269641,-0.883604739938,0.885202758956,0.885202758956,0.882828562417,8.06948390875,1.80720269641,1.80720269641,8.69478060312,11,8.05364021362,1.52861448039,0.0,0.0358114271167,9.5265041036,30.9680056847,1.80764705592,0.999999980094,0.00652049103408,0.882828562417
1.80720255373,-0.776568224679,0.776334992882,0.776334992882,0.77399809569,8.10607556532,1.80720255373,1.80720255373,2.76506571382,12,8.061402064,1.52861438672,0.0,0.030432347443,1.26361989158,5.52001169464,1.80730423454,1.0,0.00476826798874,0.77399809569
1.80720255373,-0.704419321393,0.701470349992,0.701470349992,0.699731116613,8.16733335636,1.80720255373,1.80720255373,3.75192614226,13,8.06305167747,1.52861438671,0.0,0.0256541468787,4.90686129148,19.176980527,1.80799028824,1.0,0.00359764405869,0.699731116613
1.80720255373,-0.664060738206,0.658486764696,0.658486764696,0.657327722451,8.23615604068,1.80720255373,1.80720255373,3.3977351792,14,8.06429649979,1.52861438671,0.0,0.021856676538,3.14135569119,11.0570803537,1.80739626774,1.0,0.00268692885032,0.657327722451
1.80720255373,-0.620952361287,0.61388488047,0.61388488047,0.613045069211,8.33826987016,1.80720255373,1.80720255373,3.58344236854,15,8.06509407044,1.52861438671,0.0,0.0202519753174,2.50968858411,8.9909756798,1.81294367374,1.0,0.00227383920085,0.613045069211
1.80720255373,-0.54753025367,0.540152342292,0.540152342292,0.539558409603,8.41159873187,1.80720255373,1.80720255373,6.91051441133,16,8.06570264378,1.52861438671,0.0,0.0176871933616,7.43775198557,26.6099573462,1.83860546152,1.0,0.00156167785692,0.539558409603
1.80720255373,-0.50255545001,0.495061563103,0.495061563103,0.494714084401,8.49899608403,1.80720255373,1.80720255373,2.51672207937,17,8.06615381286,1.52861438671,0.0,0.0155607027207,1.0089065653,5.49955450967,1.80723266114,1.0,0.00124646577186,0.494714084401
1.80720255373,-0.468127263108,0.460587912643,0.460587912643,0.460319307548,8.59493132888,1.80720255373,1.80720255373,4.27507046525,18,8.06651995343,1.52861438671,0.0,0.0137711505079,3.72603457972,12.9638868476,1.80720278059,1.0,0.000966339245401,0.460319307548
1.80720255373,-0.419201970912,0.411249044053,0.411249044053,0.41123344848,8.74210014475,1.80720255373,1.80720255373,3.60367541846,19,8.06690415357,1.52861438671,0.0,0.0149783395876,3.10548682966,12.2715938027,1.80720533756,1.0,0.000909268974144,0.411237666321
1.80720255373,-0.378212592732,0.370136592249,0.370136592249,0.370181817473,8.82062454914,1.80720255373,1.80720255373,4.33926146712,20,8.06722741736,1.52861438671,0.0,0.0100399750026,5.59229615414,21.5256882547,1.83206919555,1.0,0.000462310823338,0.370181817473
1.80720255373,-0.353581133399,0.345610872805,0.345610872805,0.345640767859,8.89715245738,1.80720255373,1.80720255373,2.81512883541,21,8.06752653205,1.52861438671,0.0,0.00966219879716,1.4690529412,6.77242596025,1.80729069558,1.0,0.000409248523516,0.345640767859
1.80720255373,-0.327171285694,0.319633776817,0.319633776817,0.319681673435,8.96612625936,1.80720255373,1.80720255373,2.21565939498,22,8.06778078439,1.52861438671,0.0,0.00799240860394,0.604181280059,3.49587317145,1.80816602081,1.0,0.000290502392408,0.319681673435
1.80720255373,-0.302112395033,0.295693998858,0.295693998858,0.295755499795,9.03517713567,1.80720255373,1.80720255373,2.99455155653,23,8.06797292058,1.52861438671,0.0,0.00685416727904,3.19263479078,13.0567963749,1.807202664,1.0,0.000197578180283,0.295755499795
1.80720255373,-0.275306322221,0.270106676135,0.270106676135,0.27018415026,9.13481704123,1.80720255373,1.80720255373,4.45138310316,24,8.06812828254,1.52861438671,0.0,0.00620641135966,4.68353198284,14.898954327,1.80726784044,1.0,0.000146129720226,0.27018415026
1.80720255373,-0.251901696497,0.247314562749,0.247314562749,0.247377782341,9.23844753437,1.80720255373,1.80720255373,2.60488420034,25,8.06824588698,1.52861438671,0.0,0.00501114004792,1.92538397243,8.66961476915,1.81694683341,1.0,9.42002735589e-05,0.247377782341
1.80720255373,-0.22949142567,0.225607982045,0.225607982045,0.22567421795,9.31698308569,1.80720255373,1.80720255373,2.51551552207,26,8.06834046007,1.52861438671,0.0,0.00372425166403,1.01645326485,4.75937072247,1.8072025742,1.0,5.41750443175e-05,0.22567421795
1.80720255373,-0.208418891366,0.205287411762,0.205287411762,0.205354215024,9.39365943194,1.80720255373,1.80720255373,2.90798192697,27,8.06839769086,1.52861438671,0.0,0.00330698930935,2.17556393144,9.41122023255,1.80720258202,1.0,5.54245123804e-05,0.205354215024
1.80720255373,-0.190254304292,0.18787874252,0.18787874252,0.187928600119,9.43222661267,1.80720255373,1.80720255373,2.13308448266,28,8.06843467607,1.52861438671,0.0,0.00218405033477,0.43332531147,2.95843680707,1.80720255373,1.0,4.15224036658e-05,0.187928600119
