MaxKL,MinReturn,AverageDiscountedReturn,Iteration,ExplainedVariance,NumTrajs,MaxReturn,LossAfter,Entropy,AveragePolicyStd,AverageReturn,StdReturn,LossBefore,MeanKL,Perplexity
0.817534197296814,-4914.72640404,-1915.45922555,0,3.35287353437e-14,265,-1333.46971614,-0.11747879005211807,1.4189385332,1.0,-2218.05554306,785.796365866,0.01009241405081889,0.1712969261964824,4.13273135412
0.4931390170701026,-3201.15477172,-1506.6871979,1,-18.0820793223,469,-1304.19044843,-0.02831107193033967,1.41993851754,1.00100048448,-1631.19790852,232.916469098,-0.01687281263022901,0.09932831277720283,4.13686608771
0.710283169013618,-1952.05639049,-1419.71302309,2,-1.30556452095,552,-1249.73656979,-0.04716038933408104,1.41964365441,1.00070536986,-1517.77199401,131.879050675,-0.015786133983779913,0.1937238068461922,4.13564645825
0.5049872468567213,-1740.39091682,-1372.48476101,3,0.784063556674,620,-1241.47772933,-0.0649408422917241,1.41906586403,1.00012733894,-1456.23501808,106.438428372,-0.029814398089025158,0.11259768345995005,4.13325761174
0.4296141916424829,-1731.75360024,-1363.01097007,4,0.813088453501,639,-1251.40528214,-0.03866154277191209,1.41831651479,0.999378174998,-1443.45336422,106.643572398,-0.025576597443758845,0.0756143603122319,4.13016151844
0.11200763594397639,-1668.12991482,-1359.59413706,5,0.819304088666,644,-1240.15680134,0.004032180581347435,1.41748775103,0.9985502697,-1439.2851307,105.181673738,0.0067735115951937045,0.03320035029885742,4.12674000826
0.07243445225401635,-1588.5965034,-1369.54752694,6,0.831368243762,643,-1255.22512433,-0.0018324515877306922,1.41685594273,0.997919576608,-1449.36204128,105.254383969,0.0019423018410630272,0.018821140973397286,4.12413352314
0.03484214096240727,-1588.5965034,-1365.33491932,7,0.81991798992,646,-1249.02466362,0.02450201142602225,1.41632551983,0.99739039757,-1444.68719651,108.198883073,0.02162310044180282,0.005596438736687502,4.12194656834
0.01576283779880986,-1588.5965034,-1365.49520052,8,0.82431986238,645,-1256.7638767,-0.006028218343223916,1.41610735821,0.997172829004,-1445.0387029,106.503870701,-0.008061240918263962,0.0015349283794123586,4.12104741591
0.0136159236264499,-1588.5965034,-1349.04904877,9,0.789494152127,651,-1256.33844812,-0.006413806382470818,1.41584084652,0.996907106197,-1427.46732286,112.605282665,-0.004953565771486634,0.0021040862479211058,4.11994925493
0.008127566717381208,-1588.5965034,-1364.3596781,10,0.818367494407,646,-1254.99764202,-0.0008391278248435765,1.4155584595,0.996625632318,-1443.72433978,108.716809533,0.00012855978693861536,0.0016217136151623754,4.118785999
0.008589201692074876,-1588.5965034,-1359.95578259,11,0.81597142404,646,-1258.03349699,-0.005465750475327232,1.41530656632,0.996374620727,-1439.36283304,105.9447274,-0.004087594649886048,0.0016330499390893832,4.11774863553
0.008444493714842051,-1588.5965034,-1353.57612251,12,0.80448678796,649,-1254.20758916,0.012283627096735724,1.41504345232,0.996112495107,-1432.39800273,109.573347939,0.013954392109970537,0.0018694126066779895,4.11666534076
0.0062914114001635475,-1588.5965034,-1362.94625629,13,0.81845348896,646,-1257.33051595,0.031653567335646456,1.41493748435,0.996006944672,-1442.40690965,105.833412573,0.031197767076781454,0.0009767964095111089,4.11622912917
0.006085369079155806,-1588.5965034,-1362.40280383,14,0.831629836585,644,-1258.02990274,-0.009342286122887707,1.41509461616,0.996163461346,-1442.05296829,101.941355391,-0.008465969261599735,0.0010463725329670815,4.11687597054
0.012693101494484207,-1588.5965034,-1361.86312209,15,0.832725566403,645,-1258.03349699,0.004520889740580752,1.41517058205,0.996239138662,-1441.46985693,100.808784147,0.00496821160185991,0.0010450603073501573,4.11718872455
0.012409189041637077,-1588.5965034,-1359.04183324,16,0.811157040464,647,-1258.01190108,0.006933382224789701,1.41527748344,0.996345643709,-1438.14180594,108.968916499,0.007748674627369736,0.0007363262951849279,4.1176288813
0.007497953664689335,-1588.5965034,-1357.00809227,17,0.813846099856,647,-1258.03349699,0.008456948194760202,1.41543348533,0.996501087633,-1436.14201584,106.805358193,0.008789393101303151,0.00016848926535015986,4.11827128928
0.002387594936841917,-1588.5965034,-1349.32200002,18,0.801708231399,649,-1247.17196876,0.0007168384443448355,1.41564155979,0.996708455632,-1428.03726788,107.884469625,0.0020884239120479166,0.0003023628348715923,4.11912828551
0.004891327074546839,-1588.5965034,-1359.19070927,19,0.810175910086,648,-1246.12425962,-0.004822472137806395,1.41584680885,0.996913050101,-1438.17432534,107.453138362,-0.0011049841166992241,0.001671522755248407,4.11997381949
0.004740221339094625,-1588.5965034,-1355.42958559,20,0.816597856192,648,-1258.01978129,0.0033464247170194162,1.41602475502,0.997090462749,-1434.45858319,104.545017167,0.00430550398225423,0.0016747876144471666,4.1207070183
0.005225825817294396,-1588.5965034,-1363.20131683,21,0.825258273829,645,-1258.03349699,-0.019054931639171373,1.4162204245,0.997285582007,-1442.69214841,104.457455533,-0.016958606999066764,0.0021506055982559694,4.12151339377
0.004537966049703743,-1588.5965034,-1353.94283692,22,0.811738426042,648,-1258.02087441,-0.009759691027400541,1.41626121526,0.997326262878,-1432.99309745,108.004954494,-0.009783421968031222,0.0017294388956548043,4.12168151688
0.003267356201327616,-1588.5965034,-1351.84995738,23,0.792448247538,651,-1257.19952999,0.005771951146617819,1.41622204337,0.997287196485,-1430.34224973,112.168763073,0.005044764509191442,0.0007552571201139899,4.12152006598
