AveragePolicyStd,Entropy,Perplexity,StdReturn,AverageReturn,MinReturn,LossAfter,MaxReturn,MeanKL,AverageDiscountedReturn,Iteration,NumTrajs,ExplainedVariance,LossBefore,MaxKL
1.0,1.4189385332,4.13273135412,1.22026135678,-1004.32750776,-1009.19878243,-0.02203836619037612,-1001.53475928,0.3264625613596508,-916.434652647,0,492,6.81876777264e-12,0.054714841601792776,1.1094193236406211
1.0010004973,1.41993853034,4.13686614069,3.10175737261,-1002.72249998,-1010.65682656,-0.09314154053779519,-991.920872924,0.2162733192964141,-752.776066662,1,164,-1.27250767381,-0.01270054254546937,0.9634474996495331
1.00148544713,1.42042287815,4.13887030806,443.752813174,-227.097326756,-998.188875359,-0.10093985223728913,50.4049121786,0.19788287916322367,-125.722978457,2,59,0.00202389225181,-0.04176686172655428,0.8154323475497586
1.00140425207,1.42034180023,4.13853475068,192.274707746,0.996109391913,-988.696488615,0.015604450502362524,44.2507840975,0.07321677921296416,-4.66947754061,3,55,-0.478313173693,0.006326355192188821,0.46640605977433763
1.0013904574,1.42032802481,4.138477741,492.044304347,-626.53133187,-990.367909396,0.05430882626405885,45.0597117144,0.005550043305307444,-498.984426098,4,105,0.0250444659655,0.05719604413937359,0.11010249503934015
1.00172660515,1.42066364948,4.13986694935,510.434275247,-408.871379121,-990.707750903,0.042354619324129976,45.4455731185,0.0022548499087481776,-325.557768647,5,78,0.171167367929,0.043444631358676905,0.04592409110990955
1.00221432445,1.42115040965,4.1418825622,479.290867072,-288.533684212,-990.187223875,0.027069701606709785,43.4478718534,0.007475898561395222,-233.13023161,6,69,0.151337613462,0.03196957926967589,0.07723039865440579
1.00277448966,1.42170918108,4.14419757455,433.775720031,-197.622462979,-990.336721823,0.008068703443376828,47.1661622198,0.015489342603234832,-161.151677241,7,65,0.0818430041942,0.015258324543005516,0.12442809252126269
1.0033348243,1.42226780931,4.14651328708,416.781174729,-171.77197593,-990.017043734,0.0166982778646993,46.8373754414,0.031063521791338165,-140.416861598,8,63,0.111058253013,0.02918911787141666,0.1873173933811587
1.00394467783,1.42287545119,4.14903364787,4.31439477453,41.8428452515,33.2219850103,-0.0017316380918906823,52.2993460683,0.02903950705592758,26.4462020892,9,54,-95.1750796004,0.0033405462877559066,0.1890896048213238
1.00450377005,1.42343219164,4.15134422584,4.66887089106,42.8675594821,34.7588139117,-0.0037642174505720574,51.4108912174,0.0013974902483227427,26.7050934081,10,54,0.880276276691,-0.004334620549702421,0.02893084845115962
1.00498564787,1.42391179389,4.15333569741,4.83247246436,41.8265759631,31.0289686931,-0.04160439960214997,53.8486482306,0.012414603520070327,26.1692683557,11,54,0.882065266524,-0.029688937688858216,0.11132189175919904
1.00527827479,1.42420292672,4.15454504583,3.96140311158,42.6861436386,37.0405504274,-0.016710002985025535,52.288491498,0.004851175380339816,26.6312545246,12,54,0.904140052225,-0.01783651969422541,0.08262342967115187
1.00546410766,1.42438776678,4.15531304315,193.236827732,5.63175828173,-988.778624359,-0.00391340676690579,56.7677968636,0.0019241699876405693,-2.43101842013,13,55,-0.0104365906766,-0.0008333629753012762,0.02473655680290476
1.00562850578,1.42455125813,4.15599245643,192.702464388,6.0436392952,-985.77361252,0.0046381201643216395,52.202822891,0.009160451985719766,-2.19292232693,14,55,0.0147709935982,0.008632471356997323,0.08289876869437808
1.00581337485,1.4247350756,4.15675647064,4.67165793593,44.9196174679,35.6431805858,0.006644586880300235,53.6833839418,0.006213509464584697,27.9185033632,15,54,-2.11494539684,0.00627808598251436,0.08328434703841009
1.00600738002,1.42492794086,4.15755824189,4.22523821592,44.2997102059,37.2704892387,-0.028478331493060317,53.4650286652,0.00910227144488152,27.7383911175,16,54,0.912962769582,-0.02380914920533496,0.11496698067714027
1.00607988177,1.42500000707,4.15785787214,3.96545142975,44.2487604471,35.1996208469,-0.025637750162418697,51.8018303797,0.01679334778269767,27.6819417127,17,54,0.91375688232,-0.017159762845632157,0.1600110133267146
1.00607312144,1.42499328757,4.15782993354,4.99579307466,43.8757821253,36.5051129178,-0.011372469083022427,53.2583125044,0.008097249593767602,27.3257374458,18,54,0.879532596377,-0.0029463253257547223,0.08678491738877883
1.00605451322,1.42497479151,4.15775303075,4.79082923945,47.1083405879,36.6639133404,-0.035334780180536,59.0441539183,0.012739233258263205,29.5933695017,19,54,0.901313950373,-0.0241370918878543,0.13173535501689929
1.00593679374,1.42485777362,4.15726652774,4.09918890686,46.4614079876,38.1276768175,-0.047225915652416774,57.0583417256,0.006101915307480184,29.3753186052,20,54,0.928548187636,-0.04550893424384279,0.07878278586535806
1.00565599385,1.42457859198,4.15610605726,3.94020866177,46.1203935975,39.7713068912,-0.03133496468386358,55.8126013163,0.0057820893655864585,28.8957687336,21,54,0.935374233017,-0.023936382552624088,0.20262911888620647
1.00531032274,1.4242348059,4.1546774914,4.1156926542,47.9801192337,41.8181469394,-0.03243229598140884,61.0381749702,0.021837982699602344,29.8721501816,22,54,0.930036526361,-0.02619822165590797,0.33015526144605206
1.00489924977,1.42382582071,4.15297863728,193.77776392,10.066268668,-987.299002559,0.01829525473360618,55.7930283406,0.022498421996422848,1.23913151884,23,55,-0.0106541538288,0.019710139294052204,0.2377837719233194
1.00460613393,1.42353409136,4.15176726824,192.839582537,4.73497284747,-987.757766285,0.012230695188975767,49.883354163,0.004845967565965402,-2.21133031635,24,55,0.0159029789215,0.011148828106381604,0.12430120248168461
