LossBefore,MaxKL,MeanKL,AveragePolicyStd,Iteration,MaxReturn,Perplexity,AverageDiscountedReturn,AverageReturn,StdReturn,ExplainedVariance,NumTrajs,MinReturn,LossAfter,Entropy
0.013829167855291839,0.620515888546073,0.043396822177015765,1.0,0,-1000.35272763,4.13273135412,-919.936654361,-1004.52845921,1.14186429114,1.23462351453e-11,512,-1006.9335384,-0.010005698327557475,1.4189385332
0.04226295953043207,0.45864393818883575,0.05620842215138767,1.00100048868,1,-1000.02149446,4.13686610505,-901.300525603,-1003.92314339,1.2768578329,0.218115921143,424,-1008.2512465,-0.006164572484480153,1.41993852173
-0.006616219945670252,0.2834041972357199,0.02630363060189798,1.00191737753,2,-998.417435733,4.14065536037,-871.127990606,-1003.11098576,1.61289106157,0.146456401296,329,-1009.03054604,-0.043376953351652606,1.42085407492
-0.00966964616223494,0.32638153903099804,0.023213171214958823,1.00252467674,3,-997.981747688,4.14316516486,-837.109850619,-1002.56468733,2.13547321655,0.175961065256,260,-1009.15759703,-0.045429640573947605,1.42146002831
-0.03192122942008233,0.2079627805424663,0.023919294913413054,1.00288857914,4,-981.965557866,4.1446690757,-749.898295929,-1000.52210749,3.90039029668,0.086994021925,164,-1007.20863736,-0.0701173817133536,1.42182294842
-0.02535585703920594,0.27823636513663974,0.022173663710800116,1.00282890731,5,19.0728682039,4.14442246804,-630.426700666,-960.36713289,190.57527809,0.0554887989015,108,-1007.52910431,-0.05036278075273188,1.42176344668
-0.036134708506928466,0.2046364952680665,0.020704836060554784,1.00256580195,6,45.2244537917,4.1433351243,-263.557413642,-491.146248587,508.769878384,0.0882047807055,65,-1002.6107885,-0.05436630391687339,1.42150104911
-0.022358923948181147,0.22798475677276042,0.01633056353865215,1.00211029408,7,48.4935661664,4.14145263262,-102.803377022,-192.085628372,425.700725895,0.0629942573281,58,-991.360353037,-0.03847711038100303,1.42104660374
-0.010071091144933465,0.15089594384922314,0.011810390301206654,1.00157851336,8,54.3038641192,4.13925492579,-10.6138089218,-15.1676490857,232.100071507,-0.523031191742,55,-990.641877842,-0.010533051158296374,1.42051580202
0.014005775655307725,0.08854869353328977,0.007078789574937603,1.00104541665,9,50.8703787735,4.13705178031,-95.1780578514,-113.878720565,367.75556525,-0.325012630365,60,-990.490789957,0.020156492985704797,1.41998340379
0.025098371091724185,0.042789414408504256,0.00434407150348812,1.00066667709,10,45.5097849726,4.13548655143,-95.7292823047,-114.968869363,367.460520083,0.0760172746082,60,-990.243160818,0.029168308399759795,1.41960498816
0.02726426735011936,0.02580521704641388,0.0022420561914771684,1.00049475359,11,47.424484002,4.1347760378,-182.826544926,-225.316606506,450.179680636,0.114019141159,66,-990.76144764,0.03129440711633322,1.41943316444
0.035059105833430325,0.012566126095340316,0.001060540776616165,1.00050301219,12,48.5973000075,4.13481016839,-255.450581628,-317.574417113,489.752252731,0.184114196941,72,-990.416606049,0.03754730899557231,1.41944141893
0.027724323397552156,0.026645070136763056,0.00027247055315088233,1.00069401527,13,45.7228124193,4.13559953277,-325.650860964,-410.088552616,510.202360739,0.236527385766,80,-990.275827525,0.02935737452568651,1.41963230775
0.0399319509256093,0.003400193235352229,1.5715323158710723e-05,1.0009991862,14,45.9522132735,4.13686072227,-360.758204406,-449.848565449,513.849380828,0.28497756869,84,-990.594071266,0.04016024098053932,1.41993722055
0.04937646503799103,0.014884772115956894,1.468710917099151e-05,1.00144136912,15,44.2906994285,4.13868814546,-343.839194947,-430.42738749,512.431221705,0.253326403775,81,-990.545964056,0.049174460565126504,1.42037886454
0.03954291416763744,0.012965283591917526,0.00010814978999844491,1.00201393813,16,46.9203134292,4.14105441938,-354.515962241,-442.976270787,513.728176473,0.267155261066,83,-990.25849893,0.0386691348916685,1.42095044608
0.03645521541598702,0.023271557230268847,0.0001393169490906748,1.00266624594,17,46.3376034085,4.1437502323,-292.699695597,-366.08423504,503.3556569,0.208808631284,76,-990.712809126,0.03628184375969218,1.42160123101
0.0444752334404524,0.014901157402741384,0.00023791877785942864,1.00337737627,18,46.6148570596,4.14668914293,-357.608571055,-449.249365637,513.364039213,0.258823044894,82,-990.255766216,0.043677209591466724,1.42231021895
0.03590196243313993,0.012285867967417492,0.00038126823839159345,1.00415444841,19,44.2875756763,4.14990057331,-262.57165199,-327.24563315,492.582567166,0.170133197717,73,-990.795913707,0.03489117330740759,1.42308437572
0.01533494910746827,0.005524738340372232,0.0007703318264598282,1.0049691956,20,46.2073222276,4.15326770459,-246.895327441,-307.836683223,486.703020082,0.188975847931,71,-990.480137868,0.012713095741174445,1.4238954231
0.036026507139998554,0.010333784391231775,0.0011062855061100343,1.00576311503,21,48.054100929,4.15654876031,-182.594939943,-224.325194987,450.559343543,0.117255867109,66,-990.100103823,0.033524361484238936,1.42468510502
0.03359625644916964,0.0015591818461988226,0.0015397397493256346,1.00659350586,22,47.7596806141,4.15998054252,-182.68371509,-225.046335361,449.837497756,0.142312523162,66,-990.25757567,0.029946358946030757,1.42551039698
0.019291128765865133,0.006552310691489548,0.002236469503075546,1.00745009656,23,48.4858513362,4.16352060178,-139.922496194,-171.269801253,416.35934513,0.109871751785,63,-990.778420318,0.01401728366476893,1.42636101487
0.002338548169050322,0.009912080698382376,0.002488182793421945,1.00829330788,24,49.117226766,4.16700536761,-106.580476747,-128.630447469,381.622877061,0.0780306861886,61,-991.071572394,-0.0008563662986606398,1.42719764056
