AverageReturn,AverageDiscountedReturn,LossAfter,StdReturn,MaxReturn,LossBefore,AveragePolicyStd,MinReturn,Entropy,ExplainedVariance,Perplexity,Iteration,NumTrajs,MeanKL,MaxKL
-996.71147563,-858.749702056,-0.0711532453797632,1.45629841872,-990.377370011,-0.030899542977390868,1.0,-998.65589216,1.4189385332,1.42197364994e-12,4.13273135412,0,312,0.04968750068534763,0.8014860798547999
-994.993409833,-765.538246843,-0.06030809339547037,2.86283978942,-985.897932429,-0.022066180369536992,0.999000505019,-998.731445125,1.4179385384,0.0993961971662,4.12860070988,1,174,0.044342185021141324,0.921008519383392
-938.513928689,-630.344715252,-0.03240164069534786,227.075500853,17.9493793661,-0.016878379951750185,0.998024169039,-998.366759869,1.41696074771,0.0119089458832,4.12456577556,2,111,0.03771722329668176,0.6458476355550465
-639.448923409,-366.605832047,-0.06484146952692106,478.922684607,27.8429528178,-0.04986905315205384,0.997076251592,-998.100275209,1.41601050229,0.0592881458129,4.1206482874,3,72,0.03313036788363878,0.4471343949862982
-65.0565889576,-36.4176857506,-0.016996584556068565,289.094971593,48.4449220406,-0.004839750168814084,0.996134866197,-994.192169288,1.41506591047,-0.436264669976,4.11675779447,4,56,0.03259453110622743,0.8901378419902851
-74.5757993278,-30.1933373057,-0.06107261295642126,317.283309613,64.9524433706,-0.049187141314689854,0.995301669284,-983.328566518,1.41422913064,0.070778797043,4.11331441546,5,55,0.012925514039123523,0.3404679008001695
-5.7659608625,-10.2764699544,0.006325973576834506,190.821259572,52.0724191825,0.002451341269846108,0.994416089026,-986.520065653,1.41333897392,-0.103511631409,4.10965455016,6,55,0.004426744751791333,0.1468689053846336
-81.1845054718,-68.2799133479,0.01401838874046112,312.11723862,59.1175111736,0.013595337368154829,0.99365883736,-999.996875884,1.41257717999,0.0300183986719,4.10652503246,7,58,0.0021186577231771166,0.1609524191273119
-50.2882158847,-42.792442465,0.003849111656030848,260.671298171,54.988376328,0.005706560007924043,0.993081887178,-999.346193032,1.4119963793,0.0298449537285,4.10414065235,8,57,0.006398657735735073,0.3299213058121932
-62.6442149272,-54.2314007185,-0.0037283700433407467,289.053263738,57.794273461,0.014654709082374815,0.992604664128,-999.988470119,1.41151571627,0.0484390620959,4.10216841769,9,57,0.04756976866411518,0.4854831571035268
