AveragePolicyStd,LossAfter,LossBefore,AverageReturn,MaxReturn,dLoss,Iteration,MeanKL,ExplainedVariance,NumTrajs,Perplexity,Entropy,MeanKLBefore,MinReturn,AverageDiscountedReturn,StdReturn
1.0,-0.0163447266571,-4.02002852794e-09,-1497.88197862,-1253.03829493,0.0163447226371,0,0.00643637794105,5.53557200078e-13,574,4.13273135412,1.4189385332,0.0,-1942.47830386,-1404.69303117,127.451201346
0.989794741387,-0.0264619768197,3.40629763259e-08,-1497.52000952,-1240.56117473,0.0264620108827,1,0.00669061010326,0.72116220796,575,4.09055576187,1.40868084392,-1.96399140874e-08,-1970.71419364,-1404.64566958,139.198897424
0.956599091825,-0.0254386859212,2.8575658594e-08,-1488.47071982,-1239.25922718,0.0254387144968,2,0.00718770978822,0.577521188457,590,3.95336706011,1.37456763609,1.97546894537e-08,-2219.73102602,-1398.58946145,132.789244081
0.910888034494,-0.0198926565322,1.22337441413e-07,-1465.9638672,-1238.01438907,0.0198927788696,3,0.00704249620759,0.755730538753,607,3.76445554025,1.32560323997,-1.86374813083e-08,-1836.2427087,-1379.7206905,110.799928786
0.891849386744,-0.0230659088732,-4.21203085377e-08,-1468.07859107,-1247.3614031,0.0230658667528,4,0.00834420994014,0.785856107036,611,3.68577392375,1.3044805236,2.87044663733e-08,-1790.20395075,-1382.77353027,111.642907289
0.885497839028,-0.0178478664942,8.44947077814e-08,-1449.86820785,-1232.83935898,0.0178479509889,5,0.00717596665849,0.79403117525,621,3.65952468336,1.29733327104,4.46838798601e-08,-1756.44968211,-1366.59733137,105.519709393
0.857379933441,-0.0133911894177,6.03514093525e-08,-1451.5034079,-1228.88984582,0.0133912497691,6,0.00895071072268,0.803409633357,629,3.54332093333,1.26506440415,-1.45179583355e-08,-1804.548971,-1369.33749788,110.619186675
0.827917752603,-0.0130125572779,-7.94336426151e-08,-1449.56472149,-1236.53830597,0.0130124778443,7,0.00990614765361,0.818175510543,633,3.42156165482,1.23009707107,5.10948539034e-09,-1702.49944849,-1368.20838772,107.406248106
0.813974659677,-0.00937198076819,9.14951400778e-08,-1435.05739166,-1246.46432842,0.00937207226333,8,0.00653105584765,0.81299369141,641,3.36393859751,1.21311248912,4.06870792613e-08,-1702.20761051,-1355.10085002,104.657080969
0.781656225047,-0.00881888389959,1.11505252175e-07,-1449.72154726,-1238.17275888,0.00881899540484,9,0.00718619912774,0.836733300469,639,3.23037518939,1.1725982882,-3.48473740697e-08,-1662.37734154,-1369.36899397,101.866759918
0.778711754324,-0.00576939248778,1.23440814726e-08,-1444.10820679,-1233.17230948,0.00576940483186,10,0.00885576088332,0.603843459817,639,3.21820648292,1.1688242115,-2.47197999292e-08,-1690.46681915,-1363.5973613,102.471657136
0.775442167831,-0.0121141322063,-1.79749712893e-08,-1454.42495831,-1236.93611709,0.0121141142313,11,0.00827041451368,0.823773299824,637,3.2046941603,1.16461666002,-3.72801522985e-09,-1706.36625919,-1373.66922356,106.238995217
0.749532916713,-0.00783514129015,1.12131646645e-07,-1443.95059241,-1252.97077279,0.00783525342179,12,0.00876146980723,0.824324243254,641,3.09761818585,1.13063348903,4.64466232142e-08,-1686.37184982,-1363.83632199,105.408051089
0.739585470086,-0.00580702346947,2.06818494809e-07,-1435.2008075,-1250.70965969,0.00580723028796,13,0.00622120714245,0.826507516384,644,3.05650806128,1.1172731079,-2.56517858621e-08,-1588.5965034,-1355.60494458,101.290577285
0.712373495936,-0.0020929353786,-3.95578502233e-08,-1435.21441665,-1250.42636157,0.00209289582075,14,0.0075407822533,0.816694623482,645,2.9440482825,1.07978560104,-2.51598600287e-08,-1688.76027439,-1355.88666278,104.047586321
0.7023571753,-0.00673456234921,4.10410106164e-08,-1434.25337433,-1243.89736707,0.00673460339022,15,0.00738051972098,0.824093901824,644,2.90265352015,1.06562532558,-8.07398470304e-09,-1657.28519257,-1354.73759117,103.379990559
0.707847561959,-0.00965696721323,-7.4108007822e-08,-1434.30516928,-1248.36922299,0.00965689310522,16,0.00817302931146,0.815256039007,645,2.92534381325,1.07341201677,-2.32446859538e-08,-1666.76802523,-1354.79656434,105.083705167
0.697126179743,-0.0047064395657,-4.49744687609e-08,-1445.84835076,-1249.86499448,0.00470639459123,17,0.00580983795154,0.841415982195,643,2.8810352208,1.05814968123,-5.00346207799e-08,-1588.5965034,-1365.96144434,99.7742049318
0.681990443758,-0.00483252369065,4.28803818543e-08,-1436.25057704,-1241.20006987,0.00483256657103,18,0.0080828488076,0.818368007694,646,2.81848329013,1.03619889988,-8.3365307435e-09,-1697.20618762,-1356.94733124,105.235717997
0.69306769279,-0.00426232814923,5.3551993033e-09,-1445.94243384,-1243.3032142,0.00426233350443,19,0.00889391537575,0.838108966806,641,2.86426258452,1.05231092944,-2.22793095084e-08,-1679.89659802,-1365.85241927,100.232688448
0.681989894986,-0.0273617235788,7.81801886319e-09,-1438.04802335,-1234.97826275,0.0273617313968,20,0.00846925514133,0.77806368597,643,2.8184810222,1.03619809522,2.74168678871e-08,-1670.14316075,-1358.3098478,101.006887455
0.706912299557,-0.00724083105944,3.42279723228e-08,-1441.46781603,-1242.87951288,0.00724086528741,21,0.00953723630719,0.814277276486,645,2.92147862499,1.07208986654,-1.51044804442e-08,-1651.09296806,-1362.08603428,108.859705479
0.692965932944,-0.00747252548774,-5.20509179501e-08,-1437.67703451,-1247.19807798,0.00747247343683,22,0.00993713547099,0.830445055928,643,2.86384203842,1.05216409339,-3.56593021777e-09,-1673.40659254,-1357.80492441,99.9499873603
