NumTrajs,Entropy,StdReturn,ExplainedVariance,MaxReturn,LossAfter,Perplexity,MinReturn,Iteration,AverageReturn,MeanKLBefore,AverageDiscountedReturn,MeanKL,LossBefore,dLoss,AveragePolicyStd
334,1.4189385332,788.378873242,2.55351295664e-14,-1249.35772744,-0.0274500860736,4.13273135412,-6478.52823625,0,-2000.02717602,0.0,-1773.06327063,0.0082389026933,-4.48058509812e-09,0.027450081593,1.0
387,1.40726329366,520.028104169,-1.17084357035,-1295.45711271,-0.0220574476812,4.08476130144,-5765.30440296,1,-1821.7018417,-1.28315171648e-08,-1648.53325136,0.00857894293917,-5.46704399145e-09,0.0220574422141,0.988392651597
411,1.39248200952,433.366854144,0.140449944084,-1250.0231749,-0.0256225125305,4.02482732576,-3501.6165909,2,-1752.32915818,-2.8223780299e-08,-1595.76221662,0.00670914052004,8.23807148558e-09,0.0256225207686,0.973890384079
458,1.37634779586,297.655660634,-5.54028433792,-1234.56181481,-0.00272375813316,3.96041095288,-3463.69290599,3,-1652.56787845,9.45818003084e-09,-1522.72998507,0.00685257526589,-2.10036448006e-09,0.0027237560328,0.958303507662
450,1.35539052709,391.344149669,0.0151875370422,-1253.47188319,-0.0294681687849,3.87827523246,-5067.78755364,4,-1682.79663738,-1.45547065789e-08,-1547.02003033,0.0084964801647,8.97911921786e-09,0.029468177764,0.938429067883
494,1.34097692444,211.904817332,0.183543064301,-1261.86845658,-0.0258208067996,3.8227762453,-3623.22113789,5,-1595.98132843,1.71410745042e-08,-1480.94275299,0.00824766359709,-6.46476828611e-09,0.0258208003348,0.92499993775
509,1.32339288368,195.728319549,0.486666761326,-1255.61571863,-0.0274716495413,3.75614394143,-3419.94993519,6,-1569.61203791,1.76715991146e-08,-1459.3339822,0.00771237582902,-2.5147405826e-08,0.0274716243939,0.908876870906
527,1.30045520588,153.116274573,0.43656882756,-1245.75955458,-0.0209148246383,3.67096733324,-2002.10011934,7,-1537.87073968,1.27133676503e-08,-1433.74234815,0.00652437245827,-3.83148011051e-09,0.0209148208069,0.88826662531
550,1.28605179562,137.236147105,0.716034439729,-1252.20926619,-0.0267062992918,3.61847184925,-2173.15619987,8,-1518.66214592,4.11668484579e-08,-1420.17898466,0.00688262299237,4.07170187109e-09,0.0267063033635,0.875564255015
566,1.26084990873,128.976034551,0.656329732214,-1249.10782661,-0.0267129780316,3.5284190475,-1891.66107843,9,-1500.05021443,3.97292917176e-08,-1405.54403425,0.00818636348008,2.24830994042e-09,0.0267129802799,0.853774113331
588,1.2400081463,111.534502767,0.734145477307,-1249.56604562,-0.0241357584547,3.45564161535,-1806.28111956,10,-1478.44729849,-3.11541265008e-10,-1388.65160141,0.00927600130899,1.07684169426e-09,0.0241357595315,0.836164105346
597,1.20622775032,113.425626034,0.792007567221,-1246.80422391,-0.0181599130822,3.34085830099,-1774.38155185,11,-1469.3313965,1.99093633246e-09,-1381.35922748,0.00793747948112,-3.75756579111e-09,0.0181599093247,0.808389903606
610,1.17266684844,106.415985666,0.787395948109,-1234.43487295,-0.0158143763886,3.23059667229,-1779.02521977,12,-1457.75918084,-1.87828295695e-08,-1372.38107526,0.00890055539068,2.41267773944e-08,0.0158144005154,0.781709817424
617,1.15100534334,107.154267416,0.795482795869,-1234.5655472,-0.0154752755658,3.16136957444,-1859.53651372,13,-1452.09856353,-4.64055449623e-08,-1368.06816795,0.007904934937,2.16835393756e-09,0.0154752777342,0.764958886399
629,1.13587622418,108.641936327,0.786066491873,-1239.42708004,-0.0104279034588,3.11390082307,-1704.26072803,14,-1435.20741542,4.30846527899e-08,-1353.22408202,0.00836407430517,-1.32977108246e-08,0.010427890161,0.753472838238
