AverageReturn,NumTrajs,MeanKL,ExplainedVariance,Entropy,MinReturn,MaxKL,StdReturn,Perplexity,MaxReturn,Iteration,LossBefore,AveragePolicyStd,LossAfter,AverageDiscountedReturn
-969.404580153,131,0.16000538472281264,1.59983137848e-13,1.4189385332,-1000.0,1.0282295285673775,172.041659194,4.13273135412,0.0,0,-0.005736904144791345,1.0,-0.049216464709459534,-692.061670381
-125.8,55,0.1672972213891023,-0.426868137887,1.41793856075,-1000.0,0.7938164688387104,333.685556938,4.12860080216,9.0,1,-0.020990688287292055,0.999000527349,-0.03188909069818559,-59.4252705608
-149.75,60,0.018087910413833334,-0.00714324279968,1.41704416418,-1000.0,0.08722896707241262,357.176782793,4.12490984662,2.0,2,0.020915726232103513,0.998107424162,0.013097793771032859,-118.869325919
-176.677419355,62,0.016419969296958124,0.10810110381,1.4169886378,-1000.0,0.2186900296639818,382.370778265,4.12468081165,6.0,3,0.01870621409874903,0.998052004405,0.016437424316902635,-139.012758664
-69.0175438596,57,0.03167739339355535,-0.0680587334705,1.41725629222,-1000.0,0.29705198389960524,255.766168649,4.12578494847,9.0,4,-0.002118844634575351,0.998319173193,-0.012741550989017653,-54.8709802306
1.33333333333,54,0.00805678886176672,-531.224498041,1.41744959311,0.0,0.1415711170770231,1.91485421551,4.12658254346,7.0,5,0.01510421368736256,0.99851216783,0.017413820302557375,0.777975228123
-16.8703703704,54,0.006731487589821646,-0.000253703732152,1.417807236,-1000.0,0.1290396269158286,135.059663948,4.1280586503,12.0,6,0.013992945394336143,0.99886934247,0.011562911496957151,-13.6768629203
1.72222222222,54,0.002398847256587949,-38.6000701647,1.41827351854,0.0,0.0514309813236546,2.21457015867,4.12998394079,8.0,7,-0.02625806923747764,0.999335206405,-0.027331123427786166,1.07525405424
1.03703703704,54,0.001763448713431883,0.0406367755272,1.41835240866,0.0,0.04412617470385854,1.21659760783,4.13030976858,5.0,8,-0.007197189080816075,0.999414047193,-0.008910394693030576,0.658953758153
1.22222222222,54,0.002341076523443102,0.0327101630977,1.41835019968,0.0,0.0357251683931558,1.8525924445,4.13030064482,9.0,9,-0.01651276454242093,0.999411839509,-0.017996980469269896,0.80062545671
-16.8703703704,54,0.0008499582802350463,-0.000769819066223,1.41819414023,-1000.0,0.018807988500756694,135.05815569,4.12965612265,7.0,10,0.008867947013911403,0.999255884013,0.008382952602799473,-13.5175329583
-34.9272727273,55,0.003539459157644285,0.0290792510861,1.41813755819,-1000.0,0.03470500888141958,187.481281931,4.1294224649,7.0,11,-0.005967631779648942,0.999199345679,-0.011663459839596237,-28.0247008911
1.2962962963,54,0.0014349940016650262,-397.30971705,1.41803271542,0.0,0.035528932547632536,1.94964032419,4.12898954753,7.0,12,0.008751184100813625,0.999094592347,0.008482355909412036,0.854484122801
1.77777777778,54,0.0008247346768768629,0.0354107176655,1.41801814709,0.0,0.027118892043056248,2.34652356466,4.12892939548,9.0,13,-0.020922598944602435,0.999080037314,-0.021801257504376895,1.03518455819
-35.5090909091,55,0.005359706138559573,-0.000600149007439,1.41782999613,-1000.0,0.049167466361163974,187.362737416,4.1281526065,4.0,14,0.0039682257905953875,0.998892077121,-0.008947951603408427,-28.3294449327
0.962962962963,54,0.0006884467412580928,-442.600942639,1.41769359241,0.0,0.02265354733238037,1.20127961039,4.12758954955,4.0,15,0.006801108893375171,0.998755833822,0.005808925830382537,0.63694170102
1.09259259259,54,0.005143669533208889,0.0421414414444,1.41762818423,0.0,0.06904329761270127,1.23631049855,4.12731958025,4.0,16,0.007320395959249172,0.998690509156,0.0030639131134530726,0.73099497552
1.2962962963,54,0.005703047496028965,0.039004092732,1.41763105165,0.0,0.07893234275337696,1.78086152299,4.12733141505,6.0,17,-0.01824891324567046,0.998693372831,-0.020236380001120824,0.76004110928
2.42592592593,54,0.008159762569694176,0.0538410083212,1.41748528989,0.0,0.1418340073862027,2.40833315534,4.1267298518,9.0,18,-0.0211969368895272,0.998547812134,-0.022284611636395002,1.47914935392
1.85185185185,54,0.0016103472943480267,-0.000368406059603,1.41719582075,0.0,0.048899203018913685,2.09414888048,4.12553546372,8.0,19,-0.016019365086822713,0.998258805187,-0.016885686395127313,1.17867628358
1.51851851852,54,0.004992128028481992,0.0920446907111,1.41681850449,0.0,0.062243278157851245,1.65261566795,4.12397912574,6.0,20,-0.0034872138845366872,0.997882216958,-0.006423221747531568,0.944166165103
1.92592592593,54,0.00528480017869458,0.0346461765222,1.41644890167,0.0,0.0654544104170436,2.30017593411,4.1224551731,11.0,21,0.008174520568334584,0.997513465032,0.006013245615016634,1.07644340984
1.7037037037,54,0.005348692026894029,0.0448653550753,1.41617796317,0.0,0.08596410854602568,2.13983064084,4.12133839257,9.0,22,-0.011501582966436491,0.997243236839,-0.012010048024921656,0.945598229166
2.64814814815,54,0.0031092246809212402,0.047084803349,1.4158464461,0.0,0.06874744548954013,3.41107893981,4.11997232497,15.0,23,-0.0058624686046332974,0.996912688471,-0.007831757379585594,1.6091439848
2.92592592593,54,0.012339057934199347,0.0518873348581,1.41550022647,0.0,0.14316410781616082,3.0783103341,4.11854615656,11.0,24,-0.0019886988019404135,0.996567597468,-0.011387839327283229,1.80422649209
1.96296296296,54,0.0032121999611285992,0.0450929954815,1.41516940672,0.0,0.1628278391293086,2.3723949687,4.1171838855,9.0,25,-0.012213267230978266,0.996237967754,-0.013783900080405363,1.17676269808
