NumTrajs,MeanKL,AverageDiscountedReturn,dLoss,MaxReturn,AveragePolicyStd,StdReturn,AverageReturn,ExplainedVariance,Perplexity,LossAfter,Iteration,MinReturn,MeanKLBefore,Entropy,LossBefore
274,0.00770310276539,-846.043969773,0.033665393353,-997.0,1.0,0.355047781227,-999.927007299,9.7066799043e-13,4.13273135412,-0.0336653853746,0,-1000.0,0.0,1.4189385332,7.97840696091e-09
264,0.00786267131005,-840.375977298,0.032228812049,-998.0,0.990482270187,0.355314337224,-999.920454545,0.153020375717,4.0933971337,-0.0322287975263,1,-1000.0,6.59557052897e-09,1.40937522034,1.4522694231e-08
211,0.00867976276856,-804.003483746,0.0341722338118,-997.0,0.991297321617,0.599334026902,-999.815165877,0.158755967693,4.0967655223,-0.0341722489613,2,-1000.0,-6.65563037669e-09,1.41019776537,-1.51494589106e-08
157,0.0084722142902,-746.842648983,0.0274837433863,0.0,0.9792098908,136.894591173,-980.808917197,0.0419071793318,4.04681141798,-0.0274837457499,3,-1000.0,2.21349279739e-08,1.39792926683,-2.36361798037e-09
120,0.00743859543178,-652.083431877,0.0228655462331,0.0,0.980303078219,288.523301582,-908.233333333,0.117368007058,4.0513292679,-0.0228655466224,4,-1000.0,-3.14039627185e-08,1.39904504156,-3.89340933365e-10
107,0.00785790515042,-602.983476442,0.0235449582519,2.0,0.953451154917,337.199262529,-868.943925234,0.109946219396,3.94035748255,-0.0235449577113,5,-1000.0,8.83952849112e-09,1.37127145081,5.40558550787e-10
89,0.00928858284769,-488.551393849,0.0298057017608,0.0,0.926059480907,449.340174422,-718.943820225,0.110772995281,3.82715505253,-0.0298056998157,6,-1000.0,-9.78181002864e-09,1.34212172105,1.94506904883e-09
80,0.00972766110059,-400.886968507,0.0227981183674,3.0,0.89799269751,489.954563582,-599.725,0.0999888870875,3.71116257677,-0.0227981214183,7,-1000.0,-3.89683284252e-08,1.31134519054,-3.05083134431e-09
64,0.00803319742218,-185.019820348,0.0199888536734,4.0,0.874696933955,441.743204355,-265.4375,0.0223298143416,3.61488744431,-0.019988860504,8,-1000.0,-1.88174598403e-08,1.28506071939,-6.83059737126e-09
61,0.00770495141808,-132.401444661,0.0169711196855,2.0,0.846534787599,384.479414686,-180.196721311,0.0331519894946,3.49850085906,-0.0169711164424,9,-1000.0,9.69295252395e-09,1.25233455076,3.24315288636e-09
56,0.00806498158182,-53.5500182843,0.0155303360967,2.0,0.821035954142,257.445659389,-71.2678571429,-0.115750005821,3.39312103054,-0.0155303372426,10,-1000.0,4.67293276851e-08,1.22175015582,-1.145835835e-09
57,0.00670514481087,-76.4820633126,0.0141465497475,6.0,0.799672161032,328.228157853,-122.49122807,0.0414736280842,3.30483021292,-0.0141465564361,11,-1000.0,1.477784628e-08,1.19538509919,-6.68859365123e-09
55,0.00879202293834,-34.1536481335,0.0169468854746,1.0,0.785634565781,227.117251547,-54.4363636364,-0.0763330456503,3.24681660289,-0.0169468902267,12,-1000.0,3.41176669139e-08,1.17767500951,-4.75215270219e-09
54,0.00796357820558,-9.62539145796,0.0118933479685,1.0,0.762538659495,134.83507301,-18.3888888889,0.0101121601812,3.15136742683,-0.011893348633,13,-1000.0,3.18749599493e-08,1.1478364624,-6.64508591338e-10
54,0.00721680306562,0.209463756499,0.0280138228563,4.0,0.768288902242,0.73702773119,0.222222222222,-47278.406136,3.17513163532,-0.0280138254281,14,0.0,-2.20699014619e-10,1.15534909143,-2.57175040818e-09
56,0.00933457706896,-53.9189758228,0.0152836487356,2.0,0.772638554095,285.200708059,-89.1428571429,-2.18802690914e-05,3.19310757791,-0.015283637687,15,-1000.0,-1.30035285317e-08,1.16099460496,1.1048601069e-08
55,0.0084161580914,-23.7060765646,0.0146143612407,2.0,0.759656763206,187.218488174,-36.2363636364,-0.093202226848,3.13945732367,-0.0146143589269,16,-1000.0,5.52463051418e-08,1.14404995813,2.31375153895e-09
54,0.00694217767709,0.198587954797,0.0118136024378,2.0,0.753483167719,0.532870169257,0.222222222222,-216456.728222,3.11394351204,-0.0118136047978,17,0.0,3.49267408328e-08,1.13588993325,-2.3600417117e-09
54,0.00800349282697,0.230521478753,0.0144383450663,3.0,0.75195538359,0.698813417189,0.259259259259,0.0535974117691,3.10762959066,-0.0144383555129,18,0.0,6.64778343484e-10,1.13386024608,-1.0446563992e-08
54,0.00917503641073,0.186500519768,0.0120846399421,3.0,0.747643378303,0.677129825881,0.203703703704,-0.00503711504418,3.08980923122,-0.0120846402351,19,0.0,-4.52230865533e-08,1.12810935153,-2.92985481845e-10
54,0.00782667017105,0.102875925658,0.0211176858182,1.0,0.753842384903,0.335895502726,0.12962962963,0.063069648795,3.11542806015,-0.0211176819489,20,0.0,2.72859864148e-08,1.13636656179,3.86928263506e-09
54,0.00667506101744,-13.4565634807,0.00841464279758,3.0,0.752201597925,134.853855763,-18.2592592593,-0.000134363342918,3.10864712836,-0.0084146613398,21,-1000.0,3.44676592823e-08,1.13418762459,-1.85422162218e-08
54,0.00955810813925,-16.1918970028,0.0170421747266,2.0,0.736790629219,134.827415976,-18.4444444444,-0.0360976528236,3.0449577348,-0.017042173626,22,-1000.0,1.57084886765e-08,1.11348702087,1.10063960864e-09
54,0.006011291539,0.241463298196,0.0104507136984,5.0,0.715428029786,0.79780219365,0.259259259259,-780.508861863,2.95667185031,-0.0104507087262,23,0.0,3.69604055694e-08,1.08406426086,4.97214197813e-09
54,0.00892019232596,0.168282314113,0.0133008681154,2.0,0.723615855907,0.486089064756,0.203703703704,0.0672928790774,2.99050993605,-0.013300854899,24,0.0,4.0962526926e-08,1.09544392003,1.321637676e-08
54,0.00898935858494,0.0932591397838,0.0132307971496,2.0,0.720647763099,0.368513865595,0.111111111111,-0.235047523986,2.97824360584,-0.0132307909872,25,0.0,-1.41469991832e-08,1.09133373274,6.16238649529e-09
54,0.0068950440872,0.286189944502,0.0164061363566,3.0,0.724287024466,0.720082299823,0.333333333333,0.064521611486,2.9932836954,-0.0164061268687,26,0.0,-9.02517871548e-09,1.09637101068,9.48790175726e-09
54,0.00936321910271,0.303724903977,0.0129071949972,4.0,0.736735845867,0.765556541059,0.314814814815,-0.128244510088,3.04473132992,-0.0129071964779,27,0.0,-2.07435039701e-08,1.11341266407,-1.48071605043e-09
